Unnamed: 0,GNB,DET
First Downs,25,25
Rush-Yds-TDs,17-100-1,30-134-1
Cmp-Att-Yd-TD-INT,31-41-381-3-0,19-40-224-1-1
Sacked-Yards,0-0,4-27
Net Pass Yards,381,197
Total Yards,481,331
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,9-81,7-59
Third Down Conv.,1-7,5-15
Fourth Down Conv.,0-0,1-2
Time of Possession,25:41,34:19
