Quarter,Time,Tm,Detail,GNB,DET
1.0,7:11,Lions,Jason Hanson 47 yard field goal,0,3
,6:04,Lions,Jason Hanson 41 yard field goal,0,6
2.0,14:43,Packers,Greg Jennings 11 yard pass from Brett Favre (Mason Crosby kick),7,6
,7:41,Packers,Ryan Grant 5 yard rush (Mason Crosby kick),14,6
,6:15,Lions,Jason Hanson 45 yard field goal,14,9
,0:00,Packers,Mason Crosby 20 yard field goal,17,9
3.0,11:13,Packers,Greg Jennings 4 yard pass from Brett Favre (Mason Crosby kick),24,9
,5:15,Lions,Jason Hanson 52 yard field goal,24,12
,1:48,Packers,Ruvell Martin 3 yard pass from Brett Favre (Mason Crosby kick),31,12
4.0,13:08,Packers,Mason Crosby 20 yard field goal,34,12
,9:58,Lions,Calvin Johnson 6 yard pass from Jon Kitna (Jason Hanson kick),34,19
,6:34,Lions,Kevin Jones 1 yard rush (Jason Hanson kick),34,26
,1:44,Packers,Mason Crosby 26 yard field goal,37,26
