Unnamed: 0,CHI,DET
First Downs,22,19
Rush-Yds-TDs,22-69-0,25-95-1
Cmp-Att-Yd-TD-INT,34-52-286-2-3,20-24-247-2-0
Sacked-Yards,6-52,6-32
Net Pass Yards,234,215
Total Yards,303,310
Fumbles-Lost,5-0,4-2
Turnovers,3,2
Penalties-Yards,14-102,9-59
Third Down Conv.,7-18,2-10
Fourth Down Conv.,1-1,0-0
Time of Possession,30:23,29:37
