Unnamed: 0,DET,TAM
First Downs,25,17
Rush-Yds-TDs,35-126-0,16-56-0
Cmp-Att-Yd-TD-INT,24-33-305-3-1,29-46-266-1-1
Sacked-Yards,0-0,2-7
Net Pass Yards,305,259
Total Yards,431,315
Fumbles-Lost,4-0,4-1
Turnovers,1,2
Penalties-Yards,8-68,6-39
Third Down Conv.,2-11,6-14
Fourth Down Conv.,1-1,1-2
Time of Possession,36:25,23:35
