Quarter,Time,Tm,Detail,IND,JAX
1.0,7:48,Jaguars,Laquon Treadwell 2 yard pass from Trevor Lawrence (Matthew Wright kick),0,7
2.0,9:08,Colts,Michael Badgley 41 yard field goal,3,7
,3:06,Jaguars,Matthew Wright 22 yard field goal,3,10
,0:00,Jaguars,Matthew Wright 20 yard field goal,3,13
3.0,11:32,Jaguars,Matthew Wright 39 yard field goal,3,16
,3:08,Jaguars,Marvin Jones 3 yard pass from Trevor Lawrence (Matthew Wright kick),3,23
4.0,8:15,Jaguars,Matthew Wright 31 yard field goal,3,26
,4:26,Colts,Michael Pittman Jr. 12 yard pass from Carson Wentz (Michael Pittman Jr. pass from Carson Wentz),11,26
