Unnamed: 0,IND,JAX
First Downs,13,19
Rush-Yds-TDs,18-94-0,31-101-0
Cmp-Att-Yd-TD-INT,17-29-185-1-1,23-32-223-2-0
Sacked-Yards,6-46,1-6
Net Pass Yards,139,217
Total Yards,233,318
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,4-52,6-49
Third Down Conv.,4-12,7-15
Fourth Down Conv.,2-5,1-1
Time of Possession,26:41,33:19
