Unnamed: 0,TAM,CLE
First Downs,16,22
Rush-Yds-TDs,20-96-0,34-189-2
Cmp-Att-Yd-TD-INT,29-43-246-2-0,23-37-210-1-1
Sacked-Yards,3-17,4-32
Net Pass Yards,229,178
Total Yards,325,367
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,9-70,5-42
Third Down Conv.,4-15,5-17
Fourth Down Conv.,1-1,2-4
Time of Possession,30:37,39:04
