Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Jake Camarda kicks off 66 yards, returned by Jerome Ford for 23 yards (tackle by Ko Kieft)",0.000,0.410
1,14:56,1,10,CLE 22,0,0,Nick Chubb right tackle for 5 yards (tackle by Rakeem Nunez-Roches),0.410,0.540
1,14:01,2,5,CLE 27,0,0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 7 yards (tackle by Carlton Davis),0.540,1.200
1,13:35,1,10,CLE 34,0,0,Jacoby Brissett pass complete short right to Amari Cooper for 12 yards (tackle by Carlton Davis),1.200,1.990
1,13:00,1,10,CLE 46,0,0,Nick Chubb left tackle for -1 yards (tackle by William Gholston),1.990,1.320
1,12:23,2,11,CLE 45,0,0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 9 yards (tackle by Sean Murphy-Bunting),1.320,1.820
1,11:34,,,,,,Timeout #1 by Cleveland Browns,,
1,11:34,3,2,TAM 46,0,0,Nick Chubb right tackle for 15 yards (tackle by Antoine Winfield),1.820,3.510
1,10:53,1,10,TAM 31,0,6,"Anthony Schwartz right end for 31 yards, touchdown",3.510,7.000
1,10:45,,,TAM 15,0,7,Cade York kicks extra point good,0.000,0.000
1,10:45,,,CLE 35,0,7,"Cade York kicks off 65 yards, touchback.",0.000,0.610
1,10:45,1,10,TAM 25,0,7,Rachaad White right guard for 7 yards (tackle by Sione Takitaki and Jadeveon Clowney),0.610,1.010
1,10:07,2,3,TAM 32,0,7,Tom Brady pass complete short left to Chris Godwin for 3 yards (tackle by Denzel Ward),1.010,1.270
1,9:38,1,10,TAM 35,0,7,Rachaad White left tackle for 35 yards (tackle by Martin Emerson),1.270,3.580
1,8:55,1,10,CLE 30,0,7,Tom Brady pass complete short left to Rachaad White for 5 yards (tackle by Tony Fields),3.580,3.640
1,8:16,2,6,CLE 25,0,7,Ke'Shawn Vaughn left tackle for 4 yards (tackle by John Johnson),3.640,3.530
1,7:38,3,1,CLE 21,0,7,Ke'Shawn Vaughn left tackle for 6 yards (tackle by Tony Fields),3.530,4.580
1,6:56,1,10,CLE 15,0,7,Rachaad White left guard for 4 yards (tackle by Grant Delpit),4.580,4.640
1,6:15,2,6,CLE 11,0,7,"Penalty on Josh Wells: False Start, 5 yards (accepted) (no play)",4.640,3.810
1,5:58,2,11,CLE 16,0,7,Tom Brady pass complete short right to Julio Jones for 6 yards (tackle by Denzel Ward),3.810,4.000
1,5:17,3,5,CLE 10,6,7,"Tom Brady pass complete short left to Chris Godwin for 10 yards, touchdown Penalty on CLE: Defensive Pass Interference, 15 yards (declined)",4.000,7.000
1,5:11,,,CLE 15,7,7,Ryan Succop kicks extra point good,0.000,0.000
1,5:11,,,TAM 35,7,7,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
1,5:11,1,10,CLE 25,7,7,"Jacoby Brissett scrambles right end for 10 yards (tackle by Devin White). Penalty on Devin White: Personal Foul / Defense, 15 yards (accepted)",0.610,2.260
1,4:42,1,10,TAM 50,7,7,Nick Chubb left guard for 6 yards (tackle by Lavonte David and Rakeem Nunez-Roches),2.260,2.460
1,4:00,2,5,TAM 44,7,7,Jacoby Brissett pass complete short right to Harrison Bryant for 9 yards (tackle by Antoine Winfield),2.460,3.250
1,3:19,1,10,TAM 35,7,7,Nick Chubb left guard for 2 yards (tackle by Mike Edwards and Anthony Nelson),3.250,2.970
1,2:38,2,8,TAM 33,7,7,Jacoby Brissett pass incomplete short left intended for David Njoku,2.970,2.280
1,2:32,3,8,TAM 33,7,7,Jacoby Brissett pass incomplete deep right intended for Donovan Peoples-Jones (defended by Carlton Davis),2.280,1.150
1,2:27,4,8,TAM 33,7,10,Cade York 51 yard field goal good,1.150,3.000
1,2:22,,,CLE 35,7,10,"Cade York kicks off 65 yards, touchback.",0.000,0.610
1,2:22,1,10,TAM 25,7,10,Rachaad White left guard for 2 yards (tackle by A.J. Green),0.610,0.330
1,1:48,2,8,TAM 27,7,10,Tom Brady pass complete short right to Rachaad White for 6 yards (tackle by A.J. Green and Sione Takitaki),0.330,0.430
1,1:22,3,2,TAM 33,7,10,Tom Brady pass incomplete short right intended for Cameron Brate (defended by Alex Wright),0.430,-1.180
1,1:19,4,2,TAM 33,7,10,"Jake Camarda punts 47 yards, returned by Donovan Peoples-Jones for 12 yards (tackle by Rachaad White)",-1.180,-1.070
1,1:08,1,10,CLE 32,7,10,Kareem Hunt left tackle for no gain (tackle by Carl Nassib),1.070,0.530
1,0:29,2,10,CLE 32,7,10,Jacoby Brissett pass complete short left to Amari Cooper for 4 yards (tackle by Jamel Dean),0.530,0.370
Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,CLE 36,7,10,"Jacoby Brissett pass complete short left to David Njoku for 5 yards (tackle by Lavonte David) CLE challenged the short of the line to gain ruling, and the play was upheld.",0.370,-0.650
2,14:32,4,1,CLE 41,7,10,Kareem Hunt left guard for 2 yards (tackle by Devin White),-0.650,1.800
2,13:53,1,10,CLE 43,7,10,"Jacoby Brissett pass complete to Harrison Bryant for no gain. Penalty on Jack Conklin: Illegal Formation, 5 yards (accepted) (no play)",1.800,1.470
2,13:25,1,15,CLE 38,7,10,Jacoby Brissett pass complete short left to David Bell for 9 yards (tackle by Devin White),1.470,1.790
2,12:56,2,6,CLE 47,7,10,Kareem Hunt left guard for 1 yard (tackle by Anthony Nelson),1.790,1.220
2,12:15,3,5,CLE 48,7,10,Jacoby Brissett pass incomplete deep left intended for Amari Cooper,1.220,-0.190
2,12:09,4,5,CLE 48,7,10,"Corey Bojorquez punts 52 yards, touchback.",-0.190,-0.280
2,12:01,1,10,TAM 20,7,10,Ke'Shawn Vaughn left guard for 1 yard (tackle by Myles Garrett and Jeremiah Owusu-Koramoah),0.280,-0.130
2,11:28,2,9,TAM 21,7,10,Tom Brady pass complete short right to Rachaad White for 8 yards (tackle by Thomas Graham),-0.130,0.230
2,10:45,3,1,TAM 29,7,10,Rachaad White right guard for -1 yards (tackle by Jeremiah Owusu-Koramoah),0.230,-1.500
2,10:03,4,2,TAM 28,7,10,"Jake Camarda punts 42 yards, fair catch by Donovan Peoples-Jones at CLE-30",-1.500,-0.940
2,9:53,1,10,CLE 30,7,10,Jacoby Brissett pass complete short right to David Bell for 6 yards (tackle by Keanu Neal),0.940,1.200
2,9:18,2,4,CLE 36,7,10,Jacoby Brissett pass complete short right to Nick Chubb for 16 yards (tackle by Devin White),1.200,2.390
2,8:52,1,10,TAM 48,7,10,Jacoby Brissett scrambles left end for 17 yards (tackle by Devin White),2.390,3.510
2,8:19,1,10,TAM 31,7,10,Nick Chubb right tackle for 8 yards (tackle by Keanu Neal and Mike Edwards),3.510,4.050
2,7:45,2,2,TAM 23,7,10,Nick Chubb right tackle for no gain (tackle by Akiem Hicks),4.050,3.340
2,7:04,3,2,TAM 23,7,10,Kareem Hunt left guard for 9 yards (tackle by Mike Edwards and Lavonte David),3.340,4.650
2,6:23,1,10,TAM 14,7,10,"Kareem Hunt for no gain (tackle by William Gholston). Penalty on Donovan Peoples-Jones: Offensive Holding, 10 yards (accepted) (no play)",4.650,3.970
2,5:55,1,20,TAM 24,7,10,Jacoby Brissett pass complete short left to David Bell for 4 yards (tackle by Jamel Dean),3.970,3.280
2,5:21,2,16,TAM 20,7,10,Nick Chubb left tackle for -1 yards (tackle by Anthony Nelson),3.280,2.480
2,4:43,3,17,TAM 21,7,10,Jacoby Brissett pass complete short right to Amari Cooper for no gain (tackle by Genard Avery and Mike Edwards),2.480,2.060
2,3:58,4,17,TAM 21,7,10,Cade York 39 yard field goal no good,2.060,-0.870
2,3:53,1,10,TAM 29,7,10,"Tom Brady pass complete to Mike Evans for no gain (tackle by Martin Emerson). Penalty on Mike Evans: Offensive Pass Interference, 10 yards (accepted) (no play)",0.870,0.110
2,3:32,1,20,TAM 19,7,10,Tom Brady pass complete short right to Chris Godwin for 9 yards (tackle by John Johnson),0.110,0.190
2,2:56,2,11,TAM 28,7,10,Tom Brady pass complete short right to Rachaad White for 4 yards (tackle by Martin Emerson),0.190,0.040
2,2:15,3,7,TAM 32,7,10,Tom Brady pass complete short left to Chris Godwin for 6 yards (tackle by John Johnson),0.040,-0.850
2,2:00,4,1,TAM 38,7,10,Tom Brady up the middle for 2 yards (tackle by Jeremiah Owusu-Koramoah),-0.850,1.600
2,1:44,1,10,TAM 40,7,10,Tom Brady pass complete short middle to Chris Godwin for 7 yards (tackle by Sione Takitaki),1.600,2.000
2,1:26,2,3,TAM 47,7,10,Tom Brady pass complete short middle to Chris Godwin for 23 yards (tackle by Jeremiah Owusu-Koramoah and Grant Delpit),2.000,3.580
2,1:05,1,10,CLE 30,7,10,Tom Brady pass incomplete deep right intended for Mike Evans,3.580,3.030
2,1:01,2,10,CLE 30,7,10,Tom Brady pass incomplete deep right intended for Mike Evans (defended by Martin Emerson),3.030,2.340
2,0:56,3,10,CLE 30,7,10,Tom Brady pass complete short left to Cameron Brate for 6 yards (tackle by Thomas Graham),2.340,1.940
2,0:43,,,,,,Timeout #3 by Cleveland Browns,,
2,0:43,4,4,CLE 24,10,10,Ryan Succop 42 yard field goal good,1.940,3.000
2,0:39,,,TAM 35,10,10,"Jake Camarda kicks off 66 yards, returned by Jerome Ford for 44 yards (tackle by Dee Delaney)",0.000,1.800
2,0:31,1,10,CLE 43,10,10,Jacoby Brissett pass incomplete short right intended for David Bell,1.800,1.250
2,0:26,2,10,CLE 43,10,10,Jacoby Brissett pass complete short left to Amari Cooper for 4 yards (tackle by Sean Murphy-Bunting),1.250,1.090
2,0:10,3,6,CLE 47,10,10,Jacoby Brissett pass incomplete short left intended for Amari Cooper,1.090,-0.260
2,0:05,4,6,CLE 47,10,10,Jacoby Brissett pass is intercepted by Mike Edwards in end zone and returned for -2 yards,-0.260,0.000
Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,10,10,"Cade York kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,TAM 25,10,10,Rachaad White right end for -2 yards (tackle by Jadeveon Clowney),0.610,-0.210
3,14:26,2,12,TAM 23,10,10,Tom Brady sacked by Jordan Elliott for -6 yards,-0.210,-1.930
3,13:42,3,18,TAM 17,10,10,Tom Brady pass complete short middle to Julio Jones for 8 yards (tackle by Grant Delpit and John Johnson),-1.930,-1.700
3,13:08,4,10,TAM 25,10,10,"Jake Camarda punts 62 yards, returned by Donovan Peoples-Jones for 29 yards (tackle by Ulysees Gilbert)",-1.700,-1.730
3,12:51,1,10,CLE 42,10,10,Jacoby Brissett pass complete short right to Harrison Bryant for no gain (tackle by Lavonte David),1.730,1.190
3,12:14,2,10,CLE 42,10,10,Nick Chubb left guard for no gain (tackle by Rakeem Nunez-Roches),1.190,0.500
3,11:44,3,10,CLE 42,10,10,Jacoby Brissett pass incomplete deep left intended for Amari Cooper,0.500,-0.590
3,11:36,4,10,CLE 42,10,10,"Corey Bojorquez punts 58 yards, touchback.",-0.590,-0.280
3,11:29,1,10,TAM 20,10,10,Tom Brady pass complete deep left to Mike Evans for 28 yards (tackle by Denzel Ward),0.280,2.130
3,10:54,1,10,TAM 48,10,10,Rachaad White right guard for 1 yard (tackle by Ronnie Harrison),2.130,1.720
3,10:17,2,9,TAM 49,10,10,Julio Jones right end for 15 yards (tackle by Grant Delpit),1.720,3.180
3,9:36,1,10,CLE 36,10,10,Tom Brady pass complete deep left to Chris Godwin for 22 yards (tackle by Denzel Ward),3.180,4.650
3,8:56,1,10,CLE 14,10,10,Tom Brady pass complete short right to Mike Evans for 3 yards (tackle by John Johnson),4.650,4.640
3,8:21,2,6,CLE 11,10,10,Tom Brady pass complete short right to Rachaad White for 6 yards (tackle by Jeremiah Owusu-Koramoah),4.640,4.960
3,7:44,3,1,CLE 5,16,10,"Tom Brady pass complete short right to Ko Kieft for 5 yards, touchdown",4.960,7.000
3,7:41,,,CLE 15,17,10,Ryan Succop kicks extra point good,0.000,0.000
3,7:41,,,TAM 35,17,10,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,7:41,1,10,CLE 25,17,10,Nick Chubb right guard for 5 yards (tackle by Joe Tryon-Shoyinka),0.610,0.740
3,7:10,2,5,CLE 30,17,10,Nick Chubb left guard for 11 yards (tackle by Keanu Neal),0.740,1.660
3,6:25,1,10,CLE 41,17,10,Nick Chubb left guard for 2 yards (tackle by William Gholston and Vita Vea),1.660,1.390
3,5:55,2,8,CLE 43,17,10,Jacoby Brissett pass complete short left to David Njoku for 5 yards (tackle by Keanu Neal),1.390,1.360
3,5:13,3,3,CLE 48,17,10,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones (defended by Carlton Davis),1.360,-0.190
3,5:10,4,3,CLE 48,17,10,"Corey Bojorquez punts 41 yards, fair catch by Jaelon Darden at TB-11",-0.190,0.370
3,5:03,1,10,TAM 11,17,10,Rachaad White left guard for 1 yard (tackle by Grant Delpit and Jordan Elliott),-0.370,-0.710
3,4:24,2,9,TAM 12,17,10,Tom Brady pass complete short right to Chris Godwin for 1 yard (tackle by Jadeveon Clowney and Thomas Graham),-0.710,-1.190
3,3:43,3,8,TAM 13,17,10,Tom Brady pass complete short left to Chris Godwin for 2 yards (tackle by Thomas Graham),-1.190,-2.440
3,3:05,4,6,TAM 15,17,10,"Jake Camarda punts 63 yards, returned by Donovan Peoples-Jones for 16 yards (tackle by Cade Otton)",-2.440,-1.470
3,2:54,1,10,CLE 38,17,10,Jacoby Brissett sacked by Anthony Nelson for -8 yards,1.470,-0.160
3,2:06,2,18,CLE 30,17,10,Jacoby Brissett pass complete short right to David Bell for 4 yards (tackle by Keanu Neal and Joe Tryon-Shoyinka),-0.160,-0.290
3,1:26,3,14,CLE 34,17,10,"Penalty on Genard Avery: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.290,0.370
3,1:06,3,9,CLE 39,17,10,Jacoby Brissett sacked by and Keanu Neal for -8 yards and Logan Hall for -8 yards,0.370,-1.310
3,0:26,4,17,CLE 31,17,10,"Corey Bojorquez punts 56 yards, returned by Jaelon Darden for 17 yards (tackle by Jordan Kunaszyk)",-1.310,-0.940
3,0:13,1,10,TAM 30,17,10,Rachaad White left guard for 11 yards (tackle by Tony Fields and John Johnson),0.940,1.660
Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TAM 41,17,10,Tom Brady pass incomplete deep right intended for Chris Godwin,1.660,1.120
4,14:56,2,10,TAM 41,17,10,Rachaad White right tackle for 1 yard (tackle by Denzel Ward and Deion Jones),1.120,0.560
4,14:17,3,9,TAM 42,17,10,"Tom Brady pass incomplete intended for Mike Evans. Penalty on Martin Emerson: Defensive Pass Interference, 13 yards (accepted) (no play)",0.560,2.590
4,14:11,1,10,CLE 45,17,10,Ke'Shawn Vaughn right guard for 4 yards (tackle by Taven Bryan and Ben Stille),2.590,2.580
4,13:36,2,6,CLE 41,17,10,Tom Brady pass incomplete deep right intended for Julio Jones,2.580,1.880
4,13:28,3,6,CLE 41,17,10,"Penalty on Donovan Smith: False Start, 5 yards (accepted) (no play)",1.880,1.220
4,13:28,3,11,CLE 46,17,10,Tom Brady pass complete short right to Cameron Brate for 9 yards (tackle by Martin Emerson and Deion Jones),1.220,0.790
4,12:41,4,2,CLE 37,17,10,"Penalty on Tom Brady: Delay of Game, 5 yards (accepted) (no play)",0.790,0.460
4,12:41,4,7,CLE 42,17,10,"Jake Camarda punts 42 yards, touchback.",0.460,-0.280
4,12:33,1,10,CLE 20,17,10,Nick Chubb left guard for 3 yards (tackle by Akiem Hicks),0.280,0.140
4,11:59,2,7,CLE 23,17,10,Jacoby Brissett pass complete short left to Anthony Schwartz for 17 yards (tackle by Devin White),0.140,1.600
4,11:15,1,10,CLE 40,17,10,Nick Chubb right tackle for 15 yards (tackle by Mike Edwards and Keanu Neal),1.600,2.590
4,10:40,1,10,TAM 45,17,10,Nick Chubb left guard for 2 yards (tackle by Jamel Dean and Antoine Winfield),2.590,2.310
4,9:57,2,8,TAM 43,17,10,Jacoby Brissett sacked by and Devin White for -7 yards and Carl Nassib for -7 yards,2.310,0.700
4,9:11,3,15,TAM 50,17,10,Jacoby Brissett pass complete short left to Kareem Hunt for 6 yards (tackle by Devin White and Antoine Winfield),0.700,0.330
4,8:27,4,9,TAM 44,17,10,Jacoby Brissett pass incomplete deep right intended for Amari Cooper,0.330,-1.930
4,8:20,1,10,TAM 45,17,10,Rachaad White left guard for 2 yards (tackle by Jordan Elliott),1.930,1.650
4,7:44,2,8,TAM 47,17,10,Tom Brady pass complete short left to Rachaad White for 5 yards (tackle by Martin Emerson),1.650,1.690
4,7:03,3,2,CLE 48,17,10,Tom Brady pass incomplete short left intended for Mike Evans (defended by Martin Emerson),1.690,0.070
4,6:59,4,2,CLE 48,17,10,Jake Camarda punts 43 yards downed by Zyon McCollum,0.070,0.380
4,6:52,1,10,CLE 5,17,10,Nick Chubb right guard for no gain (tackle by Devin White and Carlton Davis),-0.380,-0.780
4,6:07,2,10,CLE 5,17,10,"Jacoby Brissett pass incomplete deep left intended for Anthony Schwartz Penalty on CLE: Offensive Pass Interference, 10 yards (declined)",-0.780,-1.420
4,5:58,3,10,CLE 5,17,10,Jacoby Brissett pass complete short right to Amari Cooper for 12 yards (tackle by Carlton Davis),-1.420,-0.060
4,5:20,1,10,CLE 17,17,10,Nick Chubb left guard for 3 yards (tackle by Antoine Winfield and Zyon McCollum),-0.060,-0.060
4,4:48,2,7,CLE 20,17,10,Jacoby Brissett pass incomplete short right intended for David Bell,-0.060,-0.870
4,4:44,3,7,CLE 20,17,10,Jacoby Brissett pass complete short right to David Njoku for 8 yards (tackle by Lavonte David),-0.870,0.810
4,4:05,1,10,CLE 28,17,10,"Jacoby Brissett pass complete to Kareem Hunt for no gain. Penalty on Zyon McCollum: Illegal Contact, 5 yards (accepted) (no play)",0.810,1.140
4,3:51,1,10,CLE 33,17,10,Nick Chubb right tackle for -1 yards (tackle by Vita Vea),1.140,0.460
4,3:28,2,11,CLE 32,17,10,Jacoby Brissett pass incomplete deep right intended for Amari Cooper,0.460,-0.230
4,3:20,3,11,CLE 32,17,10,Jacoby Brissett sacked by Rakeem Nunez-Roches for -9 yards,-0.230,-1.830
4,2:38,4,20,CLE 23,17,10,"Corey Bojorquez punts 57 yards, fair catch by Jaelon Darden at TB-20",-1.830,-0.280
4,2:35,1,10,TAM 20,17,10,Rachaad White left tackle for -3 yards (tackle by Tony Fields),0.280,-0.790
4,2:30,,,,,,Timeout #1 by Cleveland Browns,,
4,2:30,2,13,TAM 17,17,10,Tom Brady pass incomplete deep left intended for Mike Evans,-0.790,-1.510
4,2:26,3,13,TAM 17,17,10,Tom Brady sacked by and Myles Garrett for -7 yards and Jadeveon Clowney for -7 yards,-1.510,-2.490
4,2:21,,,,,,Timeout #2 by Cleveland Browns,,
4,2:21,4,21,TAM 10,17,10,"Jake Camarda punts 48 yards, returned by Donovan Peoples-Jones for 12 yards (tackle by Dee Delaney)",-2.490,-2.520
4,2:10,1,10,TAM 46,17,10,Nick Chubb left guard for 6 yards (tackle by Keanu Neal and Devin White),2.520,2.790
4,2:00,2,4,TAM 40,17,10,Nick Chubb left tackle for 28 yards (tackle by Antoine Winfield),2.790,4.780
4,1:53,1,10,TAM 12,17,10,Nick Chubb right guard for 1 yard (tackle by Akiem Hicks and Mike Edwards),4.780,4.270
4,1:21,2,9,TAM 11,17,10,Jacoby Brissett pass incomplete short middle intended for Kareem Hunt (defended by Devin White),4.270,3.290
4,1:16,3,9,TAM 11,17,10,Jacoby Brissett pass complete short right to David Njoku for -1 yards (tackle by Lavonte David),3.290,2.630
4,0:37,4,10,TAM 12,17,16,"Jacoby Brissett pass complete short middle to David Njoku for 12 yards, touchdown",2.630,7.000
4,0:32,,,TAM 15,17,17,Cade York kicks extra point good,0.000,0.000
4,0:32,,,CLE 35,17,17,"Cade York kicks off 65 yards, touchback.",0.000,0.610
4,0:32,1,10,TAM 25,17,17,Tom Brady pass complete short right to Rachaad White for 1 yard (tackle by Denzel Ward),0.610,0.200
4,0:14,2,9,TAM 26,17,17,Tom Brady pass complete deep left to Julio Jones for 26 yards (tackle by Grant Delpit),0.200,2.390
4,0:08,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,0:08,,,,,,Timeout #3 by Cleveland Browns,,
4,0:08,1,10,CLE 48,17,17,Tom Brady pass incomplete short right intended for Cameron Brate (defended by Jeremiah Owusu-Koramoah) (defended by Martin Emerson),2.390,1.850
4,0:02,2,10,CLE 48,17,17,Tom Brady pass incomplete deep right (defended by Grant Delpit),1.850,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the overtime kickoff.",,
OT,10:00,,,CLE 35,17,17,"Cade York kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,TAM 25,17,17,Tom Brady pass complete short middle to Chris Godwin for 6 yards (tackle by Sione Takitaki),0.610,0.810
OT,9:41,2,5,TAM 31,17,17,Tom Brady pass incomplete short right intended for Mike Evans,0.810,0.040
OT,9:35,3,5,TAM 30,17,17,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.040,1.330
OT,9:35,1,10,TAM 36,17,17,Tom Brady pass complete short right to Rachaad White for 4 yards (tackle by Jeremiah Owusu-Koramoah),1.330,1.540
OT,9:04,2,3,TAM 40,17,17,Tom Brady pass incomplete short middle intended for Cameron Brate,1.540,0.830
OT,9:01,3,3,TAM 40,17,17,Tom Brady pass complete short left to Chris Godwin for 7 yards (tackle by Thomas Graham),0.830,2.060
OT,8:38,1,10,TAM 47,17,17,Tom Brady pass complete short left to Rachaad White for 6 yards (tackle by Sione Takitaki),2.060,2.330
OT,8:08,2,4,CLE 47,17,17,Tom Brady pass incomplete short left intended for Breshad Perriman (defended by Martin Emerson),2.330,1.620
OT,8:04,3,4,CLE 47,17,17,"Tom Brady pass complete to Rachaad White for no gain. Penalty on Donovan Smith: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",1.620,0.300
OT,7:39,3,14,TAM 43,17,17,Tom Brady pass incomplete short left intended for Mike Evans,0.300,-0.520
OT,7:35,4,14,TAM 43,17,17,"Jake Camarda punts 42 yards, returned by Donovan Peoples-Jones for 6 yards (tackle by Ulysees Gilbert)",-0.520,-0.340
OT,7:26,1,10,CLE 21,17,17,Nick Chubb left tackle for -2 yards (tackle by Carl Nassib),0.340,-0.530
