Unnamed: 0,JAX,CLE
First Downs,18,18
Rush-Yds-TDs,24-131-0,49-214-2
Cmp-Att-Yd-TD-INT,22-39-202-2-1,7-11-86-0-1
Sacked-Yards,3-5,0-0
Net Pass Yards,197,86
Total Yards,328,300
Fumbles-Lost,2-0,1-0
Turnovers,1,1
Penalties-Yards,3-20,3-15
Third Down Conv.,9-17,5-14
Fourth Down Conv.,2-2,2-2
Time of Possession,27:02,32:58
