Unnamed: 0,LAR,TAM
First Downs,18,30
Rush-Yds-TDs,33-137-2,22-83-1
Cmp-Att-Yd-TD-INT,14-26-190-2-1,36-58-405-3-1
Sacked-Yards,1-7,2-16
Net Pass Yards,183,389
Total Yards,320,472
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,8-69,9-80
Third Down Conv.,6-13,8-16
Fourth Down Conv.,0-0,2-2
Time of Possession,26:24,33:36
