Quarter,Time,Tm,Detail,SEA,PIT
2,10:01,Steelers,Najee Harris 5 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
,1:04,Steelers,Eric Ebron 1 yard rush (Chris Boswell kick),0,14
3,9:55,Seahawks,Alex Collins 2 yard rush (Jason Myers kick),7,14
,5:46,Steelers,Chris Boswell 27 yard field goal,7,17
,3:02,Seahawks,Will Dissly 1 yard pass from Geno Smith (Jason Myers kick),14,17
4,12:59,Seahawks,Jason Myers 40 yard field goal,17,17
,1:30,Steelers,Chris Boswell 52 yard field goal,17,20
,0:00,Seahawks,Jason Myers 43 yard field goal,20,20
OT,2:50,Steelers,Chris Boswell 37 yard field goal,20,23
