Quarter,Time,Down,ToGo,Location,SEA,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, returned by Ray-Ray McCloud for 37 yards (tackle by DeeJay Dallas and Jason Myers)",,
1,14:52,1,10,PIT 37,0,0,Najee Harris left guard for 1 yard (tackle by D.J. Reed and Bobby Wagner),,
1,14:09,2,9,PIT 38,0,0,Najee Harris right tackle for 5 yards (tackle by Sidney Jones and Poona Ford),,
1,13:31,3,4,PIT 43,0,0,"Penalty on Trai Turner: False Start, 5 yards (accepted) (no play)",,
1,13:08,3,9,PIT 38,0,0,Ben Roethlisberger pass complete short middle to Najee Harris for 7 yards (tackle by Bobby Wagner),,
1,12:26,4,2,PIT 44,0,0,"Pressley Harvin punts 45 yards, fair catch by Freddie Swain at SEA-10",,
1,12:19,1,10,SEA 10,0,0,Geno Smith pass complete short middle to Gerald Everett for -1 yards (tackle by Isaiah Buggs),,
1,11:42,2,11,SEA 9,0,0,Alex Collins left end for 7 yards (tackle by Cameron Heyward and Joe Schobert),,
1,11:04,,,,,,Timeout #3 by Seattle Seahawks,,
1,11:04,3,4,SEA 16,0,0,Geno Smith pass complete short middle to D.K. Metcalf for 2 yards (tackle by Tre Norwood),,
1,10:24,4,2,SEA 18,0,0,"Michael Dickson punts 57 yards, returned by Ray-Ray McCloud for 6 yards (tackle by Cody Barton)",,
1,10:14,1,10,PIT 31,0,0,Ben Roethlisberger pass complete short left to James Washington for 9 yards (tackle by Jordyn Brooks),,
1,9:39,2,1,PIT 40,0,0,Ben Roethlisberger pass complete short right to Diontae Johnson for 2 yards (tackle by Sidney Jones),,
1,9:03,1,10,PIT 42,0,0,Ben Roethlisberger pass incomplete deep left intended for Diontae Johnson (defended by D.J. Reed),,
1,8:56,2,10,PIT 42,0,0,Ben Roethlisberger pass incomplete short middle,,
1,8:52,3,10,PIT 42,0,0,Ben Roethlisberger pass complete short left to Pat Freiermuth for 7 yards (tackle by D.J. Reed and Bobby Wagner),,
