Unnamed: 0,SEA,PIT
First Downs,18,22
Rush-Yds-TDs,27-144-1,30-119-1
Cmp-Att-Yd-TD-INT,23-32-209-1-0,29-40-229-1-0
Sacked-Yards,5-44,1-3
Net Pass Yards,165,226
Total Yards,309,345
Fumbles-Lost,3-1,1-1
Turnovers,1,1
Penalties-Yards,6-45,5-38
Third Down Conv.,3-12,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:37,37:33
