Unnamed: 0,ATL,SEA
First Downs,22,22
Rush-Yds-TDs,18-52-0,27-72-3
Cmp-Att-Yd-TD-INT,27-42-335-3-1,25-37-270-0-0
Sacked-Yards,4-25,1-9
Net Pass Yards,310,261
Total Yards,362,333
Fumbles-Lost,1-1,3-0
Turnovers,2,0
Penalties-Yards,8-66,3-30
Third Down Conv.,3-11,5-14
Fourth Down Conv.,1-2,0-0
Time of Possession,29:51,30:09
