Quarter,Time,Tm,Detail,ATL,SEA
1.0,2:07,Seahawks,Christine Michael 9 yard rush (Stephen Hauschka kick),0,7
2.0,8:42,Falcons,Matt Bryant 33 yard field goal,3,7
,4:32,Seahawks,Alex Collins 2 yard rush (Stephen Hauschka kick),3,14
,0:46,Seahawks,Stephen Hauschka 42 yard field goal,3,17
3.0,11:01,Falcons,Julio Jones 36 yard pass from Matt Ryan (Matt Bryant kick),10,17
,6:16,Falcons,Mohamed Sanu 10 yard pass from Matt Ryan (Matt Bryant kick),17,17
,0:17,Falcons,Levine Toilolo 46 yard pass from Matt Ryan (Matt Bryant kick),24,17
4.0,4:43,Seahawks,Christine Michael 1 yard rush (Stephen Hauschka kick failed),24,23
,2:02,Seahawks,Stephen Hauschka 44 yard field goal,24,26
