Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA
1,0:54,3,11,ARI 14,7,0,Josh McCown pass incomplete intended for Larry Fitzgerald is intercepted by Eugene Wilson at ARI-44 and returned for 14 yards (tackle by Karl Williams),-1.510,-3.580
1,0:43,1,10,ARI 30,7,0,Corey Dillon right end for 8 yards (tackle by Adrian Wilson),3.580,4.110
Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,ARI 22,7,0,Corey Dillon left tackle for 13 yards (tackle by Kyle Vanden Bosch),4.110,5.140
2,14:18,1,9,ARI 9,7,0,Corey Dillon right tackle for no gain (tackle by Duane Starks),5.140,4.380
2,13:34,2,9,ARI 9,7,0,"Tom Brady pass incomplete intended for Deion Branch. Penalty on Adrian Klemm: Illegal Use of Hands, 10 yards (no play)",4.380,3.070
2,13:27,2,19,ARI 19,7,0,Tom Brady pass incomplete intended for Patrick Pass,3.070,2.490
2,13:22,3,19,ARI 19,13,0,"Tom Brady pass complete to Daniel Graham for 19 yards, touchdown",2.490,7.000
2,,,,ARI 2,14,0,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,NWE 30,14,0,--,0.000,0.810
2,13:08,1,10,ARI 28,14,0,Emmitt Smith up the middle for no gain (tackle by Vince Wilfork),0.810,0.260
2,12:32,2,10,ARI 28,14,0,Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Ty Law),0.260,-0.430
2,12:28,3,10,ARI 28,14,0,Josh McCown pass incomplete intended for Larry Fitzgerald,-0.430,-1.500
2,12:21,4,10,ARI 28,14,0,"Scott Player punts 43 yards, returned by Troy Brown for -2 yards (tackle by Karlos Dansby)",-1.500,-0.740
2,12:11,1,10,NWE 27,14,0,Corey Dillon left tackle for -1 yards (tackle by David Macklin),0.740,0.060
2,11:38,2,11,NWE 26,14,0,Tom Brady pass complete to David Givens for 15 yards (tackle by David Macklin),0.060,1.660
2,11:09,1,10,NWE 41,14,0,Corey Dillon right tackle for 2 yards (tackle by Russell Davis),1.660,1.390
2,10:32,2,8,NWE 43,14,0,"Penalty on Bertrand Berry: Neutral Zone Infraction, 5 yards (no play)",1.390,2.070
2,10:10,2,3,NWE 48,14,0,"Tom Brady for no gain. Tom Brady fumbles, recovered by Bertrand Berry at NWE-20 and returned for 9 yards (tackle by Daniel Graham)",2.070,-4.840
2,10:02,1,10,NWE 11,14,0,Emmitt Smith up the middle for 2 yards (tackle by Ty Warren),4.840,4.510
2,9:23,2,8,NWE 9,14,0,Josh McCown sacked by Willie McGinest for -9 yards,4.510,2.680
2,8:49,,,,14,0,Timeout #2 by Arizona Cardinals,0.000,2.680
2,8:49,3,17,NWE 18,14,0,"Josh McCown sacked by Rodney Harrison for -15 yards. Josh McCown fumbles (forced by Rodney Harrison), recovered by Josh McCown at NWE-33",2.680,1.150
2,8:13,4,32,NWE 33,14,3,Neil Rackers 51 yard field goal good,1.150,3.000
2,,,,ARI 30,14,3,"Neil Rackers kicks off 70 yards, returned by Bethel Johnson for 26 yards (tackle by Dyshod Carter). Penalty on Tedy Bruschi: Offensive Holding, 10 yards",0.000,-0.320
2,7:45,1,10,NWE 13,14,3,Corey Dillon up the middle for 5 yards (tackle by James Darling and LeVar Woods),-0.320,-0.140
2,7:26,2,5,NWE 18,14,3,Tom Brady pass incomplete intended for David Givens is intercepted by David Macklin at NWE-42,-0.140,-2.790
2,7:17,1,10,NWE 42,14,3,Emmitt Smith left tackle for 6 yards (tackle by Rodney Harrison),2.790,3.050
2,6:42,2,4,NWE 36,14,3,Emmitt Smith left end for -2 yards (tackle by Rosevelt Colvin),3.050,2.080
2,6:00,3,6,NWE 38,14,3,Josh McCown up the middle for 4 yards (tackle by Willie McGinest),2.080,1.100
2,5:19,4,2,NWE 34,14,6,Neil Rackers 52 yard field goal good,1.100,3.000
2,,,,ARI 30,14,6,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
2,5:13,1,10,NWE 20,14,6,Tom Brady pass complete to David Patten for 23 yards (tackle by David Macklin),0.280,1.800
2,4:30,1,10,NWE 43,14,6,Corey Dillon up the middle for 8 yards (tackle by James Darling),1.800,2.330
2,3:58,2,2,ARI 49,14,6,Corey Dillon right tackle for 1 yard (tackle by Adrian Wilson and LeVar Woods),2.330,1.750
2,3:24,3,1,ARI 48,14,6,Tom Brady up the middle for 3 yards (tackle by James Darling),1.750,2.590
2,2:46,1,10,ARI 45,14,6,Tom Brady pass incomplete intended for David Patten (defended by LeVar Woods),2.590,2.040
2,2:40,2,10,ARI 45,14,6,Tom Brady pass incomplete intended for Patrick Pass,2.040,1.360
2,2:35,3,10,ARI 45,14,6,Tom Brady pass complete to Patrick Pass for 8 yards (tackle by Robert Tate),1.360,0.790
2,2:00,4,2,ARI 37,14,6,"Penalty on Adrian Klemm: False Start, 5 yards (no play)",0.790,0.460
2,2:00,4,7,ARI 42,14,6,"Josh Miller punts 31 yards, fair catch by Karl Williams",0.460,0.370
2,1:54,1,10,ARI 11,14,6,Josh McCown pass complete to Bryant Johnson for 11 yards (tackle by Roman Phifer),-0.370,0.410
2,1:30,1,10,ARI 22,14,6,Josh McCown pass incomplete intended for Freddie Jones,0.410,-0.130
2,1:23,2,10,ARI 22,14,6,Josh McCown pass complete to Bryant Johnson for 15 yards (tackle by Asante Samuel),-0.130,1.400
2,0:53,1,10,ARI 37,14,6,Josh McCown pass complete to Freddie Jones for 4 yards (tackle by Roman Phifer),1.400,1.400
2,0:46,,,,14,6,Timeout #3 by Arizona Cardinals,0.000,1.400
2,0:46,2,6,ARI 41,14,6,"Josh McCown for 12 yards (tackle by Rodney Harrison). Penalty on Rodney Harrison: Personal Foul, 15 yards",1.400,3.450
2,0:39,1,10,NWE 32,14,6,Josh McCown sacked by Mike Vrabel for -13 yards,3.450,1.150
2,0:16,2,23,NWE 45,14,6,"Josh McCown pass incomplete intended for Karl Williams is intercepted by Asante Samuel at NWE-28 and returned for -1 yards (tackle by Karl Williams). Penalty on Richard Seymour: Defensive Offside, 5 yards (no play)",1.150,1.820
2,0:08,,,,14,6,Timeout #1 by New England Patriots,0.000,1.820
2,0:08,2,18,NWE 40,14,6,Neil Rackers 58 yard field goal no good,1.820,-2.130
2,0:04,1,10,NWE 48,14,6,Tom Brady pass incomplete intended for David Givens,2.130,1.580
2,0:01,2,10,NWE 48,14,6,"Tom Brady pass incomplete intended for David Givens is intercepted by James Darling and returned for 65 yards (tackle by Daniel Graham). James Darling fumbles (forced by Daniel Graham), ball out of bounds at NWE-42. Penalty on Calvin Pace: Illegal Block Above the Waist (Declined)",1.580,0.000
Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,14,6,"Neil Rackers kicks off 79 yards, touchback",0.000,0.280
3,15:00,1,10,NWE 20,14,6,Corey Dillon up the middle for 1 yard (tackle by Bertrand Berry),0.280,-0.130
3,14:23,2,9,NWE 21,14,6,Tom Brady pass incomplete intended for David Givens (defended by Duane Starks),-0.130,-0.820
3,14:17,3,9,NWE 21,14,6,Tom Brady pass complete to David Givens for 27 yards (tackle by Adrian Wilson),-0.820,2.130
3,13:37,1,10,NWE 48,14,6,Tom Brady pass complete to David Patten for 16 yards (tackle by Russell Davis),2.130,3.180
3,13:10,1,10,ARI 36,14,6,Corey Dillon right end for 3 yards (tackle by David Macklin),3.180,3.040
3,12:33,2,7,ARI 33,14,6,Corey Dillon left tackle for 6 yards (tackle by Quentin Harris),3.040,3.140
3,11:53,3,1,ARI 27,14,6,Tom Brady up the middle for 2 yards (tackle by Russell Davis and James Darling),3.140,3.910
3,11:18,1,10,ARI 25,14,6,Corey Dillon left tackle for 14 yards (tackle by Robert Tate and Quentin Harris),3.910,4.840
3,10:43,1,10,ARI 11,14,6,Patrick Pass up the middle for 6 yards (tackle by Ross Kolodziej),4.840,5.280
3,10:08,2,4,ARI 5,14,6,Patrick Pass up the middle for 3 yards (tackle by Adrian Wilson and James Darling),5.280,5.120
3,9:36,3,1,ARI 2,14,6,"Corey Dillon left tackle for 2 yards. Penalty on Christian Fauria: Illegal Motion, 5 yards (no play)",5.120,3.980
3,9:31,3,6,ARI 7,14,6,Tom Brady sacked by Bertrand Berry for -4 yards. Penalty on Matt Light: Offensive Holding (Declined),3.980,2.700
3,9:24,4,10,ARI 11,17,6,Adam Vinatieri 29 yard field goal good,2.700,3.000
3,,,,NWE 30,17,6,"Adam Vinatieri kicks off 70 yards, touchback",0.000,0.280
3,9:21,1,10,ARI 20,17,6,Emmitt Smith right tackle for 2 yards (tackle by Ted Johnson),0.280,0.000
3,8:40,2,8,ARI 22,17,6,Josh McCown pass complete to Freddie Jones for 27 yards (tackle by Eugene Wilson),0.000,2.190
3,7:52,1,10,ARI 49,17,6,Emmitt Smith up the middle for 7 yards (tackle by Rodney Harrison and Willie McGinest),2.190,2.590
3,7:08,2,3,NWE 44,17,6,Josh McCown pass complete to Larry Fitzgerald for no gain,2.590,1.880
3,6:19,3,3,NWE 44,17,6,"Josh McCown up the middle for 10 yards (tackle by Richard Seymour). Penalty on Leonard Davis: Offensive Holding, 10 yards (no play)",1.880,0.560
3,5:43,3,13,ARI 46,17,6,Josh McCown pass complete to Bryant Johnson for 13 yards (tackle by Asante Samuel),0.560,2.850
3,5:04,1,10,NWE 41,17,6,"Emmitt Smith right tackle for 1 yard (tackle by Ted Johnson and Ty Warren). Penalty on Freddie Jones: Illegal Motion, 5 yards (no play)",2.850,2.520
3,4:33,1,15,NWE 46,17,6,Josh McCown pass complete to Freddie Jones for 4 yards (tackle by Keith Traylor),2.520,2.170
3,3:58,2,11,NWE 42,17,6,Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Rodney Harrison),2.170,1.490
3,3:50,3,11,NWE 42,17,6,"Penalty on Leonard Davis: False Start, 5 yards (no play)",1.490,0.830
3,3:50,3,16,NWE 47,17,6,Josh McCown pass complete to Josh Scobey for 42 yards (tackle by Eugene Wilson),0.830,6.060
3,3:21,1,5,NWE 5,17,6,Josh McCown pass incomplete intended for Freddie Jones,6.060,5.150
3,2:29,2,5,NWE 5,17,6,Emmitt Smith up the middle for no gain (tackle by Vince Wilfork),5.150,4.260
3,1:45,3,5,NWE 5,17,6,"Josh McCown pass incomplete intended for Bryant Johnson. Penalty on Ty Law: Defensive Pass Interference, 4 yards (no play)",4.260,6.970
3,1:38,1,1,NWE 1,17,12,"Emmitt Smith left tackle for 1 yard, touchdown",6.970,7.000
3,,,,,17,12,"Two Point Attempt: Josh McCown pass incomplete intended for Emmitt Smith, conversion fails",1.000,-1.000
3,,,,ARI 30,17,12,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
3,1:32,1,10,NWE 20,17,12,Tom Brady pass complete to David Givens for 20 yards (tackle by Duane Starks),0.280,1.600
3,0:54,1,10,NWE 40,17,12,Corey Dillon right end for 10 yards (tackle by Adrian Wilson),1.600,2.260
3,0:18,1,10,ARI 50,17,12,Corey Dillon left tackle for no gain (tackle by LeVar Woods),2.260,1.710
Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,ARI 50,17,12,Tom Brady pass complete to David Givens for 19 yards (tackle by David Macklin),1.710,3.510
4,14:24,1,10,ARI 31,17,12,Tom Brady pass complete to David Givens for 12 yards (tackle by James Darling),3.510,4.310
4,13:47,1,10,ARI 19,17,12,Corey Dillon right end for 5 yards (tackle by James Darling),4.310,4.530
4,13:21,2,5,ARI 14,17,12,Corey Dillon up the middle for 4 yards (tackle by Darnell Dockett),4.530,4.690
4,13:01,3,1,ARI 10,17,12,Patrick Pass left tackle for -1 yards (tackle by Karlos Dansby and Bertrand Berry),4.690,2.820
4,12:34,4,2,ARI 11,20,12,Adam Vinatieri 28 yard field goal good,2.820,3.000
4,,,,NWE 30,20,12,"Adam Vinatieri kicks off 69 yards, returned by Josh Scobey for 26 yards (tackle by Dexter Reid)",0.000,0.740
4,11:56,1,10,ARI 27,20,12,Josh McCown pass complete to Larry Fitzgerald for 6 yards (tackle by Ty Law),0.740,1.010
4,11:20,2,4,ARI 33,20,12,Emmitt Smith right end for no gain (tackle by Ty Law),1.010,0.300
4,11:39,3,4,ARI 33,20,12,"Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Eugene Wilson). Penalty on Roman Phifer: Illegal Contact, 5 yards (no play)",0.300,1.470
4,10:27,1,10,ARI 38,20,12,Josh McCown pass incomplete intended for Larry Fitzgerald is intercepted by Eugene Wilson at NWE-36 and returned for 13 yards,1.470,-2.190
4,10:18,1,10,NWE 49,20,12,Tom Brady pass complete to David Givens for 27 yards (tackle by Quentin Harris),2.190,3.970
4,9:41,1,10,ARI 24,20,12,Corey Dillon right tackle for 5 yards (tackle by Bertrand Berry),3.970,4.120
4,9:03,2,5,ARI 19,20,12,Corey Dillon left tackle for 8 yards (tackle by James Darling),4.120,4.840
4,8:40,1,10,ARI 11,20,12,Corey Dillon up the middle for 2 yards (tackle by Bertrand Berry),4.840,4.510
4,7:34,2,8,ARI 9,20,12,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Robert Tate),4.510,4.890
4,6:51,3,2,ARI 3,20,12,Corey Dillon up the middle for 1 yard (tackle by Adrian Wilson),4.890,3.250
4,6:29,4,1,ARI 2,20,12,"Penalty on Tom Brady: Delay of Game, 5 yards (no play)",3.250,2.980
4,6:29,4,6,ARI 7,23,12,Adam Vinatieri 24 yard field goal good,2.980,3.000
4,,,,NWE 30,23,12,"Adam Vinatieri kicks off 68 yards, returned by Josh Scobey for 19 yards (tackle by Rabih Abdullah)",0.000,0.340
4,6:17,1,10,ARI 21,23,12,Josh McCown pass incomplete intended for Bryant Johnson (defended by Willie McGinest),0.340,-0.200
4,6:10,2,10,ARI 21,23,12,Josh McCown pass incomplete intended for Karl Williams (defended by Asante Samuel),-0.200,-0.890
4,6:05,3,10,ARI 21,23,12,Josh McCown pass complete to Larry Fitzgerald for 8 yards (tackle by Tedy Bruschi),-0.890,-1.440
4,5:26,4,2,ARI 29,23,12,"Scott Player punts 41 yards, returned by Troy Brown for 2 yards (tackle by Gerald Hayes)",-1.440,-1.070
4,5:14,1,10,NWE 32,23,12,Corey Dillon right end for 6 yards (tackle by Robert Tate and LeVar Woods),1.070,1.340
4,4:46,2,4,NWE 38,23,12,Corey Dillon left tackle for 7 yards (tackle by Quentin Harris),1.340,1.930
4,3:58,1,10,NWE 45,23,12,Patrick Pass right tackle for -1 yards (tackle by Darnell Dockett),1.930,1.250
4,3:53,,,,23,12,Timeout #1 by Arizona Cardinals,0.000,1.250
4,3:53,2,11,NWE 44,23,12,Corey Dillon up the middle for no gain (tackle by Karlos Dansby and Bertrand Berry),1.250,0.560
4,3:48,,,,23,12,Timeout #2 by Arizona Cardinals,0.000,0.560
4,3:48,3,11,NWE 44,23,12,Tom Brady pass incomplete intended for Troy Brown,0.560,-0.460
4,3:43,4,11,NWE 44,23,12,Josh Miller punts 53 yards,-0.460,0.380
4,3:33,1,10,ARI 4,23,12,Josh McCown pass incomplete intended for Bryant Johnson (defended by Mike Vrabel),-0.380,-0.780
4,3:28,2,10,ARI 4,23,12,Josh McCown pass complete to Larry Fitzgerald for 8 yards (tackle by Tyrone Poole),-0.780,-0.480
4,3:03,3,2,ARI 12,23,12,"Penalty on Mike Vrabel: Defensive Offside, 5 yards (no play)",-0.480,-0.060
4,3:01,1,10,ARI 17,23,12,"Josh McCown pass incomplete intended for Karl Williams. Penalty on Ty Law: Illegal Contact, 5 yards (no play)",-0.060,0.410
4,2:56,1,10,ARI 22,23,12,Josh McCown pass incomplete intended for Nate Poole,0.410,-0.130
4,2:49,2,10,ARI 22,23,12,Josh McCown pass incomplete intended for Nate Poole,-0.130,-0.820
4,2:45,3,10,ARI 22,23,12,Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Willie McGinest),-0.820,-1.900
4,2:38,,,,23,12,Timeout #1 by New England Patriots,0.000,-1.900
4,2:38,4,10,ARI 22,23,12,Josh McCown pass incomplete intended for Obafemi Ayanbadejo (defended by Tyrone Poole),-1.900,-4.110
4,2:29,1,10,ARI 22,23,12,Corey Dillon right tackle for 5 yards (tackle by David Macklin),4.110,4.290
4,2:09,,,,23,12,Timeout #3 by Arizona Cardinals,0.000,4.290
4,2:09,2,5,ARI 17,23,12,Corey Dillon right tackle for 2 yards (tackle by Adrian Wilson and Russell Davis),4.290,3.930
4,2:00,3,3,ARI 15,23,12,Rabih Abdullah up the middle for 4 yards (tackle by Quentin Harris),3.930,4.840
4,1:29,1,10,ARI 11,23,12,Tom Brady kneels for -1 yards,4.840,3.980
4,0:38,2,11,ARI 12,23,12,Tom Brady kneels for -1 yards,3.980,3.080
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
