Quarter,Time,Tm,Detail,NWE,ARI
1.0,2:11,Patriots,Daniel Graham 2 yard pass from Tom Brady (Adam Vinatieri kick),7,0
2.0,13:16,Patriots,Daniel Graham 19 yard pass from Tom Brady (Adam Vinatieri kick),14,0
,8:08,Cardinals,Neil Rackers 51 yard field goal,14,3
,5:13,Cardinals,Neil Rackers 52 yard field goal,14,6
3.0,9:21,Patriots,Adam Vinatieri 29 yard field goal,17,6
,1:33,Cardinals,Emmitt Smith 1 yard rush (pass failed),17,12
4.0,12:02,Patriots,Adam Vinatieri 28 yard field goal,20,12
,6:22,Patriots,Adam Vinatieri 24 yard field goal,23,12
