Quarter,Time,Tm,Detail,PHI,NYG
1.0,11:28,Eagles,Brent Celek 8 yard pass from Donovan McNabb (David Akers kick),7,0
,9:40,Eagles,Sheldon Brown 60 yard defensive fumble return (David Akers kick),14,0
,2:27,Giants,Lawrence Tynes 26 yard field goal,14,3
2.0,13:07,Giants,Hakeem Nicks 68 yard pass from Eli Manning (Lawrence Tynes kick),14,10
,6:42,Eagles,David Akers 20 yard field goal,17,10
,4:09,Eagles,DeSean Jackson 72 yard punt return (David Akers kick),24,10
,1:30,Giants,Ahmad Bradshaw 3 yard rush (Lawrence Tynes kick),24,17
,0:10,Eagles,Michael Vick 1 yard rush (David Akers kick failed),30,17
3.0,9:18,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick),30,24
,5:12,Giants,Domenik Hixon 61 yard pass from Eli Manning (Lawrence Tynes kick),30,31
,4:57,Eagles,DeSean Jackson 60 yard pass from Donovan McNabb (David Akers kick),37,31
4.0,5:48,Eagles,Leonard Weaver 1 yard rush (Jason Avant pass from Donovan McNabb),45,31
,1:31,Giants,Kevin Boss 4 yard pass from Eli Manning (Lawrence Tynes kick),45,38
