Unnamed: 0,PHI,NYG
First Downs,20,27
Rush-Yds-TDs,24-77-2,31-133-2
Cmp-Att-Yd-TD-INT,18-28-307-2-1,27-38-391-3-0
Sacked-Yards,1-10,3-12
Net Pass Yards,297,379
Total Yards,374,512
Fumbles-Lost,1-0,5-4
Turnovers,1,4
Penalties-Yards,6-45,7-54
Third Down Conv.,3-8,5-12
Fourth Down Conv.,0-0,3-3
Time of Possession,25:14,34:46
