Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
1,10:22,2,7,CIN 28,3,0,Brandon Allen pass complete short right to Tee Higgins for 11 yards (tackle by Xavier Woods and Rashard Robinson),0.470,1.530
1,9:47,1,10,CIN 39,3,0,Trayveon Williams right tackle for 6 yards (tackle by Jaylon Smith and Xavier Woods),1.530,1.800
1,9:10,2,4,CIN 45,3,0,Brandon Allen pass complete short middle to A.J. Green for 16 yards (tackle by Leighton Vander Esch and Saivion Smith),1.800,2.980
1,8:29,1,10,DAL 39,3,0,Trayveon Williams right end for 6 yards (tackle by Xavier Woods),2.980,3.250
1,7:52,2,4,DAL 33,3,0,Brandon Allen pass complete short left to Drew Sample for 6 yards (tackle by Leighton Vander Esch),3.250,3.780
1,7:10,1,10,DAL 27,3,0,Brandon Allen pass complete short left to Trayveon Williams for 7 yards (tackle by Dorance Armstrong),3.780,4.180
1,6:28,2,3,DAL 20,9,0,"Trayveon Williams right guard for -2 yards. Trayveon Williams fumbles, recovered by Aldon Smith at DAL-22 and returned for 78 yards, touchdown",4.180,-7.000
1,6:15,,,CIN 15,10,0,Greg Zuerlein kicks extra point good,0.000,0.000
1,6:15,,,DAL 35,10,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,6:15,1,10,CIN 25,10,0,Brandon Allen pass incomplete short right intended for Tee Higgins (defended by Dorance Armstrong),0.610,0.060
1,6:10,2,10,CIN 25,10,0,Samaje Perine up the middle for 3 yards (tackle by Antwaun Woods),0.060,-0.230
1,5:30,3,7,CIN 28,10,0,"Brandon Allen pass incomplete short left intended for A.J. Green. Penalty on DeMarcus Lawrence: Defensive Offside, 5 yards (no play)",-0.230,0.430
1,5:26,3,2,CIN 33,10,0,Brandon Allen pass complete short middle to Tyler Boyd for 21 yards (tackle by Jourdan Lewis),0.430,2.520
1,5:00,1,10,DAL 46,10,0,Samaje Perine left tackle for -2 yards (tackle by DeMarcus Lawrence),2.520,1.710
1,4:23,2,12,DAL 48,10,0,Brandon Allen pass complete short middle to Tyler Boyd for 11 yards (tackle by Leighton Vander Esch),1.710,2.480
1,3:37,3,1,DAL 37,10,0,Samaje Perine up the middle for 2 yards (tackle by Jaylon Smith),2.480,3.250
1,2:53,1,10,DAL 35,10,0,Brandon Allen pass incomplete short left intended for Mike Thomas,3.250,2.700
1,2:49,2,10,DAL 35,10,0,Samaje Perine right guard for 9 yards (tackle by Xavier Woods),2.700,3.200
1,2:03,,,,,,Timeout #1 by Cincinnati Bengals,,
1,2:03,3,1,DAL 26,10,0,Brandon Allen up the middle for 2 yards (tackle by Antwaun Woods),3.200,3.970
1,1:24,1,10,DAL 24,10,0,Brandon Allen right end for 4 yards (tackle by Rashard Robinson),3.970,3.970
1,0:36,2,6,DAL 20,10,0,Brandon Allen pass complete short middle to Tyler Boyd for 5 yards (tackle by Rashard Robinson),3.970,4.170
1,0:09,3,1,DAL 15,10,0,Samaje Perine left tackle for no gain (tackle by Justin Hamilton and Aldon Smith),4.170,2.590
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,DAL 15,10,0,"Alex Erickson right end for no gain (tackle by Darian Thompson). Alex Erickson fumbles (forced by Darian Thompson), recovered by Jaylon Smith at DAL-12",2.590,0.350
2,14:50,1,10,DAL 12,10,0,Ezekiel Elliott right tackle for 5 yards (tackle by Mike Daniels),-0.350,-0.230
2,14:11,2,5,DAL 17,10,0,Andy Dalton pass complete short right to Ezekiel Elliott for 4 yards (tackle by Vonn Bell),-0.230,-0.370
2,13:52,3,1,DAL 21,10,0,Ezekiel Elliott right guard for 3 yards (tackle by Germaine Pratt and Mike Daniels),-0.370,0.540
2,13:16,1,10,DAL 24,10,0,Andy Dalton pass complete short left to Tony Pollard for 2 yards (tackle by William Jackson and Germaine Pratt),0.540,0.270
2,12:34,2,8,DAL 26,10,0,Tony Pollard right end for -1 yards (tackle by Margus Hunt),0.270,-0.560
2,11:54,3,9,DAL 25,10,0,"Penalty on Amari Cooper: False Start, 5 yards (no play)",-0.560,-1.220
2,11:40,3,14,DAL 20,10,0,Andy Dalton pass complete short right to Amari Cooper for 20 yards (tackle by William Jackson),-1.220,1.600
2,11:04,1,10,DAL 40,10,0,Tony Pollard up the middle for 5 yards (tackle by Mike Daniels),1.600,1.730
2,10:27,2,5,DAL 45,10,0,Tony Pollard up the middle for no gain (tackle by Khalid Kareem),1.730,1.030
2,9:55,3,5,DAL 45,10,0,Andy Dalton pass complete short right to Amari Cooper for 13 yards (tackle by Mackensie Alexander),1.030,2.790
2,9:15,1,10,CIN 42,10,0,Andy Dalton pass incomplete short middle intended for Michael Gallup (defended by Sam Hubbard),2.790,2.240
2,9:13,2,10,CIN 42,10,0,Ezekiel Elliott left tackle for 4 yards (tackle by Sam Hubbard),2.240,2.080
2,8:35,3,6,CIN 38,10,0,Andy Dalton pass complete short right to CeeDee Lamb for 14 yards (tackle by Mackensie Alexander),2.080,3.970
2,7:56,1,10,CIN 24,10,0,Andy Dalton pass complete short left to Michael Gallup for 12 yards (tackle by LeShaun Sims),3.970,4.780
2,7:21,1,10,CIN 12,10,0,Ezekiel Elliott right tackle for 1 yard (tackle by Josh Bynes),4.780,4.270
2,6:42,2,9,CIN 11,16,0,"Andy Dalton pass complete short middle to Amari Cooper for 11 yards, touchdown",4.270,7.000
2,6:38,,,CIN 15,17,0,Greg Zuerlein kicks extra point good,0.000,0.000
2,6:38,,,DAL 35,17,0,"Greg Zuerlein kicks off 65 yards, returned by Alex Erickson for 23 yards (tackle by Francis Bernard)",0.000,0.480
2,6:32,1,10,CIN 23,17,0,Trayveon Williams left guard for 9 yards (tackle by Jaylon Smith),0.480,1.150
2,5:54,2,1,CIN 32,17,0,Trayveon Williams right guard for no gain (tackle by Dorance Armstrong),1.150,0.430
2,5:15,3,1,CIN 32,17,0,Brandon Allen right tackle for 3 yards (tackle by Randy Gregory),0.430,1.270
2,4:35,1,10,CIN 35,17,0,Brandon Allen pass complete short right to Trayveon Williams for 7 yards (tackle by Xavier Woods),1.270,1.670
2,3:56,2,3,CIN 42,17,0,Brandon Allen pass complete short right to Alex Erickson for 9 yards (tackle by Rashard Robinson),1.670,2.320
2,3:16,1,10,DAL 49,17,0,Trayveon Williams right guard for 5 yards (tackle by Sean Lee and Aldon Smith),2.320,2.460
2,2:35,2,5,DAL 44,17,0,Brandon Allen pass incomplete deep middle intended for Tyler Boyd,2.460,1.750
2,2:31,3,5,DAL 44,17,0,Brandon Allen pass complete short middle to A.J. Green for 10 yards (tackle by Saivion Smith),1.750,3.310
2,2:00,1,10,DAL 34,17,0,Trayveon Williams right guard for 9 yards (tackle by Jaylon Smith),3.310,3.990
2,1:28,2,1,DAL 25,17,0,Trayveon Williams left tackle for 4 yards (tackle by Jaylon Smith),3.990,4.170
2,0:59,1,10,DAL 21,17,0,Brandon Allen pass complete short left to Trayveon Williams for no gain (tackle by Leighton Vander Esch and Jourdan Lewis),4.170,3.630
2,0:47,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:47,2,10,DAL 21,17,0,Brandon Allen pass complete short middle to Drew Sample for 6 yards (tackle by Leighton Vander Esch and Jaylon Smith),3.630,3.810
2,0:39,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:39,3,4,DAL 15,17,0,Brandon Allen pass complete short left to A.J. Green for 10 yards (tackle by Darian Thompson),3.810,6.060
2,0:17,1,5,DAL 5,17,0,Brandon Allen pass incomplete short left intended for A.J. Green,6.060,5.150
2,0:14,2,5,DAL 5,17,0,Brandon Allen pass incomplete short middle intended for Tyler Boyd (defended by Jaylon Smith),5.150,4.260
2,0:11,,,,,,Timeout #1 by Dallas Cowboys,,
2,0:11,3,5,DAL 5,17,6,"Brandon Allen pass complete short middle to A.J. Green for 5 yards, touchdown",4.260,7.000
2,0:08,,,DAL 15,17,7,Austin Seibert kicks extra point good,0.000,0.000
2,0:08,,,CIN 35,17,7,"Austin Seibert kicks off 62 yards, returned by Tony Pollard for 17 yards (tackle by Cethan Carter)",0.000,0.280
2,0:03,1,10,DAL 20,17,7,Andy Dalton kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,17,7,"Austin Seibert kicks off 68 yards, returned by Tony Pollard for 60 yards (tackle by Jessie Bates)",0.000,2.720
3,14:51,1,10,CIN 43,17,7,Andy Dalton pass complete short left to Blake Bell for 11 yards (tackle by Jessie Bates),2.720,3.450
3,14:13,1,10,CIN 32,17,7,CeeDee Lamb right end for 15 yards (tackle by Darius Phillips),3.450,4.440
3,13:35,1,10,CIN 17,17,7,Ezekiel Elliott left guard for no gain (tackle by Christian Covington),4.440,3.850
3,12:58,2,10,CIN 17,17,7,Andy Dalton pass complete short left to Dalton Schultz for 14 yards (tackle by Vonn Bell and Akeem Davis-Gaither),3.850,6.510
3,12:23,1,3,CIN 3,17,7,Ezekiel Elliott right guard for 1 yard (tackle by Christian Covington),6.510,5.720
3,11:45,2,2,CIN 2,17,7,Andy Dalton pass incomplete short middle intended for Michael Gallup (defended by Darius Phillips),5.720,4.950
3,11:41,3,2,CIN 2,17,7,Andy Dalton pass incomplete short right intended for Amari Cooper,4.950,3.250
3,11:38,4,2,CIN 2,20,7,Greg Zuerlein 20 yard field goal good,3.250,3.000
3,11:35,,,DAL 35,20,7,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,11:35,1,10,CIN 25,20,7,Giovani Bernard up the middle for 3 yards (tackle by Neville Gallimore),0.610,0.470
3,10:55,2,7,CIN 28,20,7,"Giovani Bernard right tackle for 2 yards (tackle by Rashard Robinson). Penalty on Bobby Hart: Offensive Holding, 10 yards (no play)",0.470,-0.980
3,10:24,,,,,,Timeout #1 by Cincinnati Bengals,,
3,10:24,2,17,CIN 18,20,7,Brandon Allen pass complete short right to Giovani Bernard for 4 yards (tackle by Jaylon Smith and Rashard Robinson),-0.980,-1.020
3,9:44,3,13,CIN 22,20,7,Brandon Allen pass complete short right to Giovani Bernard for 9 yards (tackle by Jaylon Smith),-1.020,-1.310
3,9:32,4,4,CIN 31,20,7,"Kevin Huber punts 51 yards, returned by CeeDee Lamb for 1 yard (tackle by Cethan Carter)",-1.310,-0.150
3,9:21,1,10,DAL 19,20,7,Tony Pollard left guard for 1 yard (tackle by Jessie Bates),0.150,-0.200
3,8:46,2,9,DAL 20,20,7,Tony Pollard left end for 17 yards (tackle by Germaine Pratt),-0.200,1.400
3,8:06,1,10,DAL 37,20,7,Andy Dalton pass complete short right to Amari Cooper for 7 yards (tackle by William Jackson),1.400,1.800
3,7:31,2,3,DAL 44,20,7,Tony Pollard right guard for 2 yards (tackle by Josh Bynes),1.800,1.360
3,6:54,3,1,DAL 46,20,7,Tony Pollard up the middle for -1 yards (tackle by Kahlil McKenzie and Xavier Williams),1.360,-0.390
3,6:12,4,2,DAL 45,20,7,"Hunter Niswander punts 51 yards downed by Joe Thomas. Penalty on Justin March-Lillard: Illegal Formation, 5 yards (no play)",-0.390,-0.720
3,6:00,4,7,DAL 40,20,7,"Hunter Niswander punts 48 yards, fair catch by Alex Erickson at CIN-12",-0.720,0.350
3,5:55,1,10,CIN 12,20,7,Brandon Allen pass complete short right to Tee Higgins for 3 yards,-0.350,-0.500
3,5:21,2,7,CIN 15,20,7,Brandon Allen pass complete short middle to Tyler Boyd for 1 yard (tackle by Rashard Robinson),-0.500,-0.950
3,4:43,3,6,CIN 16,20,7,Brandon Allen pass complete short middle to Tee Higgins for 7 yards (tackle by Rashard Robinson),-0.950,0.480
3,4:05,1,10,CIN 23,20,7,Giovani Bernard left guard for 4 yards (tackle by Darian Thompson),0.480,0.470
3,3:29,2,6,CIN 27,20,7,Brandon Allen pass incomplete short right intended for Tee Higgins,0.470,-0.230
3,3:26,3,6,CIN 27,20,7,Brandon Allen pass complete short right to Giovani Bernard for 2 yards (tackle by Rashard Robinson),-0.230,-1.440
3,2:48,4,4,CIN 29,20,7,"Kevin Huber punts 39 yards, returned by CeeDee Lamb for -1 yards (tackle by Mike Thomas)",-1.440,-1.000
3,2:42,1,10,DAL 31,20,7,Andy Dalton pass complete short right to Dalton Schultz for 15 yards (tackle by Vonn Bell),1.000,1.990
3,2:07,1,10,DAL 46,20,7,Andy Dalton pass complete short right to Ezekiel Elliott for 7 yards (tackle by Sam Hubbard),1.990,2.400
3,1:21,2,3,CIN 47,20,7,Ezekiel Elliott right tackle for 4 yards (tackle by Carl Lawson and Josh Bynes),2.400,2.720
3,0:43,1,10,CIN 43,20,7,Andy Dalton pass incomplete deep middle intended for Michael Gallup (defended by Jessie Bates),2.720,2.180
3,0:38,2,10,CIN 43,20,7,Tony Pollard right tackle for 7 yards (tackle by Germaine Pratt and Vonn Bell),2.180,2.410
3,0:10,3,3,CIN 36,20,7,"Penalty on Connor Williams: False Start, 5 yards (no play)",2.410,1.750
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,CIN 41,20,7,"Andy Dalton pass incomplete deep left. Penalty on Andy Dalton: Intentional Grounding, 10 yards",1.750,-0.130
4,14:56,4,18,DAL 49,20,7,"Hunter Niswander punts 51 yards, touchback.",-0.130,-0.280
4,14:47,1,10,CIN 20,20,7,Samaje Perine left tackle for 11 yards (tackle by Darian Thompson),0.280,1.000
4,14:31,1,10,CIN 31,20,7,Brandon Allen pass incomplete short right intended for Tee Higgins,1.000,0.460
4,14:26,2,10,CIN 31,20,7,Brandon Allen pass complete short right to A.J. Green for 5 yards (tackle by Jourdan Lewis and Rashard Robinson),0.460,0.430
4,13:44,,,,,,Timeout #1 by Dallas Cowboys,,
4,13:44,3,5,CIN 36,20,7,Brandon Allen left end for 3 yards (tackle by Deante Burton),0.430,-0.780
4,12:54,4,2,CIN 39,20,7,Brandon Allen pass complete short middle to Tee Higgins for 18 yards (tackle by Deante Burton),-0.780,2.720
4,12:11,1,10,DAL 43,20,7,Brandon Allen pass complete short right to Samaje Perine for 4 yards (tackle by Jaylon Smith),2.720,2.720
4,11:32,2,6,DAL 39,20,7,Samaje Perine left guard for no gain (tackle by Deante Burton and Randy Gregory),2.720,2.010
4,10:47,3,6,DAL 39,20,7,Brandon Allen pass complete deep right to A.J. Green for 16 yards (tackle by Xavier Woods),2.010,4.040
4,10:09,1,10,DAL 23,20,7,Samaje Perine up the middle for 1 yard (tackle by Jourdan Lewis and Leighton Vander Esch),4.040,3.630
4,9:27,2,9,DAL 22,20,7,Brandon Allen pass complete short left to Drew Sample for 9 yards (tackle by Jourdan Lewis and Darian Thompson),3.630,4.710
4,8:46,1,10,DAL 13,20,7,"Samaje Perine left guard for 3 yards. Penalty on Quinton Spain: Offensive Holding, 10 yards",4.710,4.240
4,8:42,1,17,DAL 20,20,7,Brandon Allen pass complete short right to Samaje Perine for 5 yards (tackle by Chris Westry),4.240,3.760
4,8:11,2,12,DAL 15,20,7,Samaje Perine right guard for 5 yards (tackle by Jaylon Smith),3.760,3.650
4,7:32,3,7,DAL 10,20,7,Brandon Allen pass incomplete short left intended for Drew Sample,3.650,2.760
4,7:29,4,7,DAL 10,20,7,Brandon Allen pass incomplete short left intended for Tyler Boyd,2.760,0.380
4,7:23,1,10,DAL 10,20,7,Ezekiel Elliott left end for 26 yards (tackle by Darius Phillips),-0.380,1.330
4,6:40,1,10,DAL 36,20,7,Ezekiel Elliott left end for -2 yards (tackle by Josh Bynes),1.330,0.520
4,5:58,2,12,DAL 34,20,7,"Andy Dalton pass incomplete short right intended for Amari Cooper. Penalty on Carl Lawson: Defensive Offside, 5 yards (no play)",0.520,1.200
4,5:55,2,7,DAL 39,20,7,Andy Dalton pass complete deep middle to CeeDee Lamb for 32 yards (tackle by Josh Bynes). Penalty on Mackensie Alexander: Defensive Holding (Declined),1.200,3.640
4,5:35,1,10,CIN 29,20,7,Andy Dalton pass incomplete deep left intended for Michael Gallup (defended by Darius Phillips),3.640,3.100
4,5:30,2,10,CIN 29,20,7,Ezekiel Elliott up the middle for 2 yards (tackle by Vonn Bell),3.100,2.680
4,5:24,,,,,,Timeout #2 by Cincinnati Bengals,,
4,5:24,3,8,CIN 27,20,7,Andy Dalton sacked by Jordan Evans for -10 yards,2.680,0.790
4,5:17,,,,,,Timeout #3 by Cincinnati Bengals,,
4,5:17,4,18,CIN 37,23,7,Greg Zuerlein 55 yard field goal good,0.790,3.000
4,5:12,,,DAL 35,23,7,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,5:12,1,10,CIN 25,23,7,Ryan Finley sacked by Tyrone Crawford for -5 yards,0.610,-0.610
4,4:47,2,15,CIN 20,23,7,Ryan Finley pass complete short middle to Tyler Boyd for 5 yards (tackle by Jourdan Lewis),-0.610,-0.620
4,4:24,3,10,CIN 25,23,7,Ryan Finley sacked by Tyrone Crawford for -9 yards,-0.620,-2.390
4,3:40,4,19,CIN 16,23,7,Ryan Finley pass incomplete deep middle intended for Tyler Boyd,-2.390,-4.510
4,3:37,1,10,CIN 16,23,7,Tony Pollard left guard for 4 yards (tackle by Sam Hubbard and Xavier Williams),4.510,4.570
4,2:52,2,6,CIN 12,23,7,Tony Pollard left guard for 3 yards (tackle by Sam Hubbard),4.570,4.390
4,2:09,3,3,CIN 9,23,7,Tony Pollard left end for 2 yards (tackle by Jessie Bates),4.390,3.010
4,2:00,4,1,CIN 7,29,7,"Andy Dalton pass complete short right to Tony Pollard for 7 yards, touchdown",3.010,7.000
4,1:55,,,CIN 15,30,7,Greg Zuerlein kicks extra point good,0.000,0.000
4,1:55,,,DAL 35,30,7,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,1:55,1,10,CIN 25,30,7,Trayveon Williams up the middle for 4 yards (tackle by Jaylon Smith),0.610,0.600
4,1:20,2,6,CIN 29,30,7,Trayveon Williams up the middle for no gain (tackle by Randy Gregory),0.600,-0.100
4,0:35,3,6,CIN 29,30,7,Trayveon Williams left tackle for 5 yards (tackle by Aldon Smith),-0.100,-1.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
