Quarter,Time,Tm,Detail,DAL,CIN
1.0,11:02,Cowboys,Greg Zuerlein 34 yard field goal,3,0
,6:15,Cowboys,Aldon Smith 78 yard fumble return (Greg Zuerlein kick),10,0
2.0,6:38,Cowboys,Amari Cooper 11 yard pass from Andy Dalton (Greg Zuerlein kick),17,0
,0:08,Bengals,A.J. Green 5 yard pass from Brandon Allen (Austin Seibert kick),17,7
3.0,11:35,Cowboys,Greg Zuerlein 20 yard field goal,20,7
4.0,5:12,Cowboys,Greg Zuerlein 55 yard field goal,23,7
,1:55,Cowboys,Tony Pollard 7 yard pass from Andy Dalton (Greg Zuerlein kick),30,7
