Unnamed: 0,DAL,CIN
First Downs,16,18
Rush-Yds-TDs,25-101-0,30-101-0
Cmp-Att-Yd-TD-INT,16-23-185-2-0,28-38-222-1-0
Sacked-Yards,2-14,2-14
Net Pass Yards,171,208
Total Yards,272,309
Fumbles-Lost,0-0,3-3
Turnovers,0,3
Penalties-Yards,5-30,3-25
Third Down Conv.,5-11,9-16
Fourth Down Conv.,1-1,1-4
Time of Possession,25:19,34:41
