Quarter,Time,Tm,Detail,NYJ,NWE
1.0,12:48,Patriots,Stephen Gostkowski 38 yard field goal,0,3
,7:29,Jets,Nick Folk 20 yard field goal,3,3
2.0,12:30,Jets,Jeremy Kerley 5 yard pass from Ryan Fitzpatrick (Nick Folk kick),10,3
,6:24,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),10,10
,2:00,Patriots,Stephen Gostkowski 46 yard field goal,10,13
3.0,11:10,Patriots,Stephen Gostkowski 24 yard field goal,10,16
,4:07,Jets,Chris Ivory 9 yard pass from Ryan Fitzpatrick (Nick Folk kick),17,16
4.0,12:50,Jets,Nick Folk 30 yard field goal,20,16
,7:16,Patriots,Danny Amendola 8 yard pass from Tom Brady (Stephen Gostkowski kick),20,23
,1:13,Patriots,Rob Gronkowski 15 yard pass from Tom Brady (Stephen Gostkowski kick),20,30
,0:18,Jets,Nick Folk 55 yard field goal,23,30
