Unnamed: 0,TEN,JAX
First Downs,21,20
Rush-Yds-TDs,36-179-3,25-99-1
Cmp-Att-Yd-TD-INT,15-27-215-1-1,20-34-223-1-2
Sacked-Yards,1-4,2-12
Net Pass Yards,211,211
Total Yards,390,310
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,7-70,10-99
Third Down Conv.,6-13,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:46,29:14
