Quarter,Time,Tm,Detail,TEN,JAX
1.0,7:24,Jaguars,Jason Myers 43 yard field goal,0,3
,2:16,Titans,Ryan Succop 40 yard field goal,3,3
2.0,0:00,Titans,Ryan Succop 41 yard field goal,6,3
3.0,9:24,Titans,Ryan Succop 26 yard field goal,9,3
,6:36,Titans,Derrick Henry 17 yard rush (Ryan Succop kick),16,3
,2:49,Titans,Delanie Walker 1 yard rush (Ryan Succop kick),23,3
4.0,9:57,Titans,Jonnu Smith 32 yard pass from Marcus Mariota (Ryan Succop kick),30,3
,7:12,Jaguars,Leonard Fournette 1 yard rush (pass failed),30,9
,4:14,Titans,Jalston Fowler 3 yard rush (Ryan Succop kick),37,9
,2:11,Jaguars,Allen Hurns 7 yard pass from Blake Bortles (Jason Myers kick),37,16
