Quarter,Time,Tm,Detail,WAS,DAL
2.0,10:43,Cowboys,Jason Witten 8 yard pass from Dak Prescott (Dan Bailey kick),0,7
,5:29,Cowboys,Dan Bailey 24 yard field goal,0,10
,3:46,Cowboys,Ryan Switzer 83 yard punt return (Dan Bailey kick),0,17
,0:59,Redskins,Ryan Grant 20 yard pass from Kirk Cousins (Nick Rose kick),7,17
4.0,14:53,Cowboys,Dez Bryant 13 yard pass from Dak Prescott (Dan Bailey kick),7,24
,11:28,Redskins,Josh Doctson 14 yard pass from Kirk Cousins (Nick Rose kick),14,24
,4:55,Cowboys,Alfred Morris 1 yard rush (Dan Bailey kick),14,31
,2:37,Cowboys,Rod Smith 1 yard rush (Dan Bailey kick),14,38
