Unnamed: 0,WAS,DAL
First Downs,15,21
Rush-Yds-TDs,19-56-0,42-182-2
Cmp-Att-Yd-TD-INT,26-37-251-2-2,11-22-102-2-0
Sacked-Yards,4-27,1-9
Net Pass Yards,224,93
Total Yards,280,275
Fumbles-Lost,3-2,0-0
Turnovers,4,0
Penalties-Yards,7-43,3-25
Third Down Conv.,6-14,7-14
Fourth Down Conv.,0-1,0-1
Time of Possession,27:32,32:28
