Unnamed: 0,CIN,CLE
First Downs,15,23
Rush-Yds-TDs,24-102-0,28-146-0
Cmp-Att-Yd-TD-INT,13-19-133-2-0,28-38-347-3-0
Sacked-Yards,3-26,0-0
Net Pass Yards,107,347
Total Yards,209,493
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,3-15,6-57
Third Down Conv.,1-8,5-12
Fourth Down Conv.,1-1,1-1
Time of Possession,24:29,35:31
