#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:21,,6,1:27,42,Field Goal
2,1,9:32,STL 20,6,4:52,38,Punt
3,1,3:42,STL 15,6,3:38,39,Punt
4,2,9:38,STL 35,1,0:11,0,Interception
5,2,6:08,STL 32,9,5:05,68,Touchdown
6,2,0:39,ARI 32,4,0:37,32,Touchdown
7,3,15:00,ARI 42,5,2:32,8,Punt
8,3,11:33,STL 32,6,3:39,10,Interception
9,3,5:08,STL 23,6,3:46,19,Punt
10,4,14:45,STL 32,7,3:13,49,Field Goal
11,4,7:46,STL 48,3,0:39,0,Punt
12,4,1:51,STL 20,5,1:31,72,Field Goal
13,4,0:03,STL 40,1,0:03,-1,End of Game
