Unnamed: 0,ARI,STL
First Downs,20,20
Rush-Yds-TDs,31-129-2,19-66-0
Cmp-Att-Yd-TD-INT,17-27-258-2-1,24-40-319-2-2
Sacked-Yards,1-9,2-19
Net Pass Yards,249,300
Total Yards,378,366
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,8-75,7-43
Third Down Conv.,7-14,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:47,31:13
