Quarter,Time,Tm,Detail,ARI,STL
1.0,11:54,Rams,Jeff Wilkins 26 yard field goal,0,3
2.0,13:24,Rams,Dre' Bly 78 yard punt return (Jeff Wilkins kick),0,10
,6:08,Cardinals,Marcel Shipp 5 yard rush (Bill Gramatica kick),7,10
,1:03,Rams,Troy Edwards 4 yard pass from Marc Bulger (Jeff Wilkins kick),7,17
,0:02,Rams,Torry Holt 3 yard pass from Marc Bulger (Jeff Wilkins kick),7,24
3.0,11:33,Cardinals,Marcel Shipp 80 yard pass from Jake Plummer (Bill Gramatica kick),14,24
,5:08,Cardinals,Marcel Shipp 1 yard rush (Bill Gramatica kick),21,24
4.0,11:32,Rams,Jeff Wilkins 37 yard field goal,21,27
,7:46,Cardinals,Steve Bush 1 yard pass from Jake Plummer (Bill Gramatica kick),28,27
,0:20,Rams,Jeff Wilkins 26 yard field goal,28,30
