Unnamed: 0,DAL,HOU
First Downs,21,24
Rush-Yds-TDs,27-101-1,22-124-0
Cmp-Att-Yd-TD-INT,23-30-284-2-0,23-32-241-1-2
Sacked-Yards,0-0,4-25
Net Pass Yards,284,216
Total Yards,385,340
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,8-49,5-32
Third Down Conv.,4-11,4-9
Fourth Down Conv.,2-3,0-0
Time of Possession,32:20,27:40
