Quarter,Time,Tm,Detail,DAL,HOU
2.0,11:06,Texans,Neil Rackers 24 yard field goal,0,3
,3:36,Cowboys,Marion Barber III 1 yard rush (David Buehler kick),7,3
,0:00,Cowboys,David Buehler 49 yard field goal,10,3
3.0,1:34,Cowboys,Roy Williams 15 yard pass from Tony Romo (David Buehler kick),17,3
4.0,12:03,Texans,Neil Rackers 30 yard field goal,17,6
,9:53,Cowboys,Roy Williams 63 yard pass from Tony Romo (David Buehler kick),24,6
,3:36,Cowboys,David Buehler 40 yard field goal,27,6
,1:15,Texans,Kevin Walter 7 yard pass from Matt Schaub (Neil Rackers kick),27,13
