Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
2,5:10,1,10,HOU 18,0,3,Tony Romo pass incomplete short middle intended for Martellus Bennett,4.370,3.800
2,5:03,2,10,HOU 18,0,3,Marion Barber middle for no gain (tackle by Amobi Okoye and Antonio Smith),3.800,3.050
2,4:20,3,10,HOU 18,0,3,Tony Romo pass complete short left to Miles Austin for 17 yards (tackle by Brice McCain),3.050,6.970
2,3:39,,,,0,3,Timeout #1 by Houston Texans,0.000,6.970
2,3:39,1,1,HOU 1,6,3,"Marion Barber right guard for 1 yard, touchdown",6.970,7.000
2,,,,HOU 2,7,3,David Buehler kicks extra point good,0.000,0.000
2,,,,DAL 30,7,3,"David Buehler kicks off 71 yards, returned by Steve Slaton for 21 yards (tackle by Akwasi Owusu-Ansah)",0.000,0.280
2,3:30,1,10,HOU 20,7,3,Matt Schaub pass incomplete deep middle intended for Andre Johnson,0.280,-0.270
2,3:23,2,10,HOU 20,7,3,Arian Foster right tackle for 14 yards (tackle by Terence Newman),-0.270,1.200
2,2:44,1,10,HOU 34,7,3,Arian Foster middle for 3 yards (tackle by Jay Ratliff),1.200,1.060
2,2:05,2,7,HOU 37,7,3,Matt Schaub pass incomplete short middle intended for Andre Johnson (defended by Terence Newman),1.060,0.370
2,2:00,3,7,HOU 37,7,3,Matt Schaub sacked by DeMarcus Ware for -4 yards,0.370,-1.180
2,1:55,,,,7,3,Timeout #2 by Dallas Cowboys,0.000,-1.180
2,1:55,4,11,HOU 33,7,3,"Matt Turk punts 42 yards, returned by Dez Bryant for 12 yards (tackle by Joel Dreessen)",-1.180,-1.400
2,1:40,1,10,DAL 37,7,3,Felix Jones middle for 12 yards (tackle by Bernard Pollard),1.400,2.190
2,1:13,1,10,DAL 49,7,3,Tony Romo pass complete short middle to Jason Witten for 6 yards,2.190,2.460
2,0:50,2,4,HOU 45,7,3,Tony Romo pass complete short right to Jason Witten for 8 yards (tackle by Zach Diles and Kareem Jackson),2.460,3.120
2,0:33,1,10,HOU 37,7,3,"Tony Romo pass complete deep right to Dez Bryant for 37 yards. Penalty on Dez Bryant: Illegal Touch Pass, 5 yards (no play)",3.120,2.790
2,0:27,1,15,HOU 42,7,3,"Tony Romo pass incomplete short right intended for Miles Austin. Penalty on Kareem Jackson: Defensive Pass Interfere, 7 yards (no play)",2.790,3.250
2,0:27,1,10,HOU 35,7,3,"Tony Romo pass incomplete. Penalty on Tony Romo: Intentional Grounding, 10 yards",3.250,1.350
2,0:14,,,,7,3,Timeout #3 by Dallas Cowboys,0.000,1.350
2,0:14,2,20,HOU 45,7,3,Tony Romo pass incomplete deep right intended for Roy Williams,1.350,0.700
2,0:07,3,20,HOU 45,7,3,Tony Romo pass complete short right to Jason Witten for 14 yards,0.700,1.340
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:01,4,6,HOU 31,10,3,David Buehler 49 yard field goal good. Penalty on Bernard Pollard: Defensive Offside (Declined),1.340,3.000
Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,10,3,"David Buehler kicks off 72 yards, returned by Steve Slaton for 20 yards (tackle by Danny McCray)",0.000,0.040
3,14:55,1,10,HOU 18,10,3,Arian Foster left guard for 4 yards (tackle by Bradie James and Igor Olshansky),0.040,0.140
3,14:22,2,6,HOU 22,10,3,Arian Foster right guard for 3 yards (tackle by Keith Brooking and Igor Olshansky),0.140,-0.270
3,13:42,3,3,HOU 25,10,3,Arian Foster right end for 4 yards (tackle by Gerald Sensabaugh),-0.270,0.870
3,13:01,1,10,HOU 29,10,3,"Matt Schaub pass incomplete short middle intended for Andre Johnson. Penalty on Keith Brooking: Defensive Pass Interfere, 4 yards (no play)",0.870,1.140
3,12:55,1,10,HOU 33,10,3,Derrick Ward right tackle for 1 yard (tackle by Josh Brent),1.140,0.730
3,12:13,2,9,HOU 34,10,3,Matt Schaub pass complete short left to Andre Johnson for 11 yards (tackle by Orlando Scandrick),0.730,1.930
3,11:50,1,10,HOU 45,10,3,Matt Schaub pass complete short right to Vonta Leach for 18 yards (tackle by Keith Brooking),1.930,3.120
3,11:16,1,10,DAL 37,10,3,Matt Schaub pass incomplete short right intended for Arian Foster (defended by Jay Ratliff),3.120,2.570
3,11:09,2,10,DAL 37,10,3,Arian Foster right tackle for -2 yards (tackle by Stephen Bowen),2.570,1.620
3,10:27,3,12,DAL 39,10,3,Matt Schaub sacked by DeMarcus Ware for -2 yards,1.620,0.530
3,10:03,4,14,DAL 41,10,3,Matt Turk punts 26 yards,0.530,0.220
3,9:53,1,10,DAL 15,10,3,Marion Barber right tackle for 4 yards (tackle by DeMeco Ryans and Bernard Pollard),-0.220,-0.110
3,9:09,2,6,DAL 19,10,3,Tony Romo pass complete short right to Jason Witten for 3 yards (tackle by DeMeco Ryans),-0.110,-0.510
3,8:24,3,3,DAL 22,10,3,Tony Romo pass incomplete short right intended for Dez Bryant (defended by Bernard Pollard),-0.510,-1.900
3,8:19,4,3,DAL 22,10,3,"Mat McBriar punts 59 yards, returned by Jacoby Jones for 7 yards (tackle by Leon Williams)",-1.900,-0.670
3,8:06,1,10,HOU 26,10,3,Arian Foster left tackle for 2 yards (tackle by Josh Brent),0.670,0.400
3,7:33,2,8,HOU 28,10,3,Matt Schaub pass complete short middle to Arian Foster for 14 yards (tackle by Marcus Spears),0.400,1.730
3,6:55,1,10,HOU 42,10,3,"Arian Foster right end for -2 yards (tackle by Marcus Spears). Penalty on Eric Winston: Offensive Holding, 10 yards (no play)",1.730,1.070
3,6:32,1,20,HOU 32,10,3,Matt Schaub pass complete short left to Steve Slaton for 3 yards (tackle by Bradie James),1.070,0.240
3,5:53,2,17,HOU 35,10,3,"Matt Schaub pass incomplete short right intended for Jacoby Jones. Penalty on Mike Jenkins: Illegal Contact, 5 yards (no play)",0.240,1.600
3,5:46,1,10,HOU 40,10,3,Matt Schaub pass incomplete deep left intended for Andre Johnson is intercepted by Mike Jenkins at DAL-14 and returned for -4 yards,1.600,0.380
3,5:36,1,10,DAL 10,10,3,Felix Jones middle for 15 yards (tackle by Bernard Pollard),-0.380,0.610
3,5:00,1,10,DAL 25,10,3,Felix Jones middle for 4 yards (tackle by Zach Diles and Bernard Pollard),0.610,0.600
3,4:13,2,6,DAL 29,10,3,Tony Romo pass complete short middle to Dez Bryant for 5 yards (tackle by Glover Quin),0.600,0.560
3,3:32,3,1,DAL 34,10,3,Tony Romo pass complete short middle to Sam Hurd for 10 yards (tackle by Kareem Jackson and DeMeco Ryans),0.560,1.860
3,2:47,1,10,DAL 44,10,3,Tony Romo pass complete deep left to Dez Bryant for 30 yards (tackle by Brice McCain),1.860,3.840
3,2:21,1,10,HOU 26,10,3,Tony Romo pass complete short middle to Martellus Bennett for 11 yards (tackle by Eugene Wilson),3.840,4.580
3,1:39,1,10,HOU 15,16,3,"Tony Romo pass complete short right to Roy Williams for 15 yards, touchdown",4.580,7.000
3,,,,HOU 2,17,3,David Buehler kicks extra point good,0.000,0.000
3,,,,DAL 30,17,3,"David Buehler kicks off 72 yards, returned by Steve Slaton for 26 yards (tackle by Jason Williams)",0.000,0.540
3,1:28,1,10,HOU 24,17,3,"Matt Schaub pass complete short left to Arian Foster for 4 yards (tackle by Jason Williams). Penalty on Igor Olshansky: Defensive Offside, 5 yards (no play)",0.540,1.270
3,1:04,1,5,HOU 29,17,3,Arian Foster right guard for 26 yards (tackle by Mike Jenkins),1.270,2.590
3,0:29,1,10,DAL 45,17,3,Derrick Ward left tackle for 3 yards (tackle by Keith Brooking),2.590,2.450
3,0:03,2,7,DAL 42,17,3,Matt Schaub pass complete short middle to Jacoby Jones for 15 yards (tackle by Orlando Scandrick),2.450,3.780
Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 27,17,3,Matt Schaub pass complete short middle to Andre Johnson for 15 yards (tackle by Terence Newman),3.780,4.780
4,14:19,1,10,DAL 12,17,3,Matt Schaub pass complete short middle to Owen Daniels for 11 yards (tackle by Gerald Sensabaugh),4.780,6.970
4,13:54,1,1,DAL 1,17,3,Arian Foster right tackle for no gain (tackle by Barry Church and Keith Brooking),6.970,5.910
4,13:17,2,1,DAL 1,17,3,Arian Foster right tackle for -2 yards (tackle by DeMarcus Ware),5.910,4.720
4,12:40,3,3,DAL 3,17,3,"Matt Schaub pass incomplete short left intended for Owen Daniels. Penalty on Eric Winston: Offensive Holding (Offsetting), Penalty on Keith Brooking: Defensive Pass Interfere (Offsetting) (no play)",4.720,4.720
4,12:34,,,,17,3,Timeout #1 by Houston Texans,0.000,4.720
4,12:34,3,3,DAL 3,17,3,Matt Schaub sacked by Keith Brooking for -9 yards,4.720,2.630
4,12:06,4,12,DAL 12,17,6,Neil Rackers 30 yard field goal good,2.630,3.000
4,,,,HOU 30,17,6,"Neil Rackers kicks off 73 yards, returned by Akwasi Owusu-Ansah for 33 yards (tackle by Dominique Barber). Penalty on Leon Williams: Unnecessary Roughness (Offsetting), Penalty on Kevin Bentley: Unnecessary Roughness (Offsetting), Penalty on Josh Brent: Offensive Holding (Offsetting)",0.000,0.670
4,11:57,1,10,DAL 26,17,6,Marion Barber middle for 6 yards (tackle by Earl Mitchell),0.670,0.940
4,11:16,2,4,DAL 32,17,6,Marion Barber right tackle for no gain (tackle by Xavier Adibi and DeMeco Ryans),0.940,0.230
4,10:36,3,4,DAL 32,17,6,"Penalty on Antonio Smith: Defensive Offside, 5 yards (no play)",0.230,1.400
4,10:08,1,10,DAL 37,17,6,Tony Romo pass incomplete short right intended for Miles Austin (defended by Glover Quin),1.400,0.860
4,10:02,2,10,DAL 37,23,6,"Tony Romo pass complete short right to Roy Williams for 63 yards, touchdown",0.860,7.000
4,,,,HOU 2,24,6,David Buehler kicks extra point good,0.000,0.000
4,,,,DAL 30,24,6,"David Buehler kicks off 65 yards, returned by Steve Slaton for 32 yards (tackle by Leon Williams)",0.000,1.400
4,9:44,1,10,HOU 37,24,6,Matt Schaub pass complete short middle to Owen Daniels for 10 yards (tackle by Bradie James and Keith Brooking),1.400,2.060
4,9:11,1,10,HOU 47,24,6,"Arian Foster right end for 5 yards (tackle by Anthony Spencer). Arian Foster fumbles (forced by Anthony Spencer), recovered by Terence Newman at DAL-48 and returned for 1 yards (tackle by Kevin Walter)",2.060,-2.190
4,9:04,1,10,DAL 49,24,6,Marion Barber middle for 5 yards (tackle by DeMeco Ryans and Amobi Okoye),2.190,2.320
4,8:20,2,5,HOU 46,24,6,Marion Barber left tackle for 8 yards (tackle by Bernard Pollard),2.320,3.050
4,7:35,1,10,HOU 38,24,6,Marion Barber right tackle for 4 yards (tackle by Bernard Pollard),3.050,3.050
4,6:53,2,6,HOU 34,24,6,Marion Barber middle for 1 yard (tackle by Amobi Okoye and Bernard Pollard),3.050,2.480
4,6:08,3,5,HOU 33,24,6,Tashard Choice middle for 3 yards (tackle by Zach Diles),2.480,1.500
4,5:21,,,,24,6,Timeout #1 by Dallas Cowboys,0.000,1.500
4,5:21,4,2,HOU 30,24,6,Tony Romo pass complete short left to Dez Bryant for 5 yards (tackle by Kareem Jackson and Bernard Pollard),1.500,3.910
4,4:36,1,10,HOU 25,24,6,Marion Barber middle for 3 yards (tackle by DeMeco Ryans and Bernard Pollard),3.910,3.770
4,4:32,,,,24,6,Timeout #2 by Houston Texans,0.000,3.770
4,4:32,2,7,HOU 22,24,6,Marion Barber left end for 2 yards (tackle by Zach Diles),3.770,3.340
4,4:27,,,,24,6,Timeout #3 by Houston Texans,0.000,3.340
4,4:27,3,5,HOU 20,24,6,Marion Barber middle for -2 yards (tackle by Amobi Okoye and Bernard Pollard),3.340,1.990
4,3:40,,,,24,6,Timeout #2 by Dallas Cowboys,0.000,1.990
4,3:40,4,7,HOU 22,27,6,David Buehler 40 yard field goal good,1.990,3.000
4,,,,DAL 30,27,6,"David Buehler kicks off 70 yards, returned by Steve Slaton for 23 yards (tackle by Victor Butler)",0.000,0.480
4,3:29,1,10,HOU 23,27,6,Matt Schaub pass incomplete short left intended for Owen Daniels,0.480,-0.070
4,3:24,2,10,HOU 23,27,6,Matt Schaub pass complete short left to David Anderson for 6 yards (tackle by Gerald Sensabaugh),-0.070,0.040
4,3:05,3,4,HOU 29,27,6,Matt Schaub pass complete short right to Jacoby Jones for 6 yards (tackle by Bradie James),0.040,1.270
4,2:45,1,10,HOU 35,27,6,Matt Schaub pass complete short left to Arian Foster for 4 yards (tackle by Bradie James),1.270,1.260
4,2:39,2,6,HOU 39,27,6,"Matt Schaub pass incomplete short right intended for Kevin Walter. Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",1.260,1.940
4,2:34,2,1,HOU 44,27,6,Steve Slaton middle for 16 yards (tackle by Keith Brooking),1.940,2.920
4,2:09,1,10,DAL 40,27,6,Matt Schaub pass complete deep right to Joel Dreessen for 18 yards (tackle by Keith Brooking),2.920,4.110
4,2:00,1,10,DAL 22,27,6,Matt Schaub pass complete short left to Kevin Walter for 5 yards (tackle by Mike Jenkins),4.110,4.290
4,1:39,2,5,DAL 17,27,6,Matt Schaub pass complete short middle to Jacoby Jones for 10 yards (tackle by Terence Newman),4.290,5.600
4,1:18,1,7,DAL 7,27,12,"Matt Schaub pass complete short left to Kevin Walter for 7 yards, touchdown",5.600,7.000
4,,,,DAL 2,27,13,Neil Rackers kicks extra point good,0.000,0.000
4,,,,HOU 30,27,13,Neil Rackers kicks onside 8 yards (onside kick successful),0.000,1.470
4,1:13,1,10,HOU 38,27,13,Matt Schaub pass incomplete short middle intended for Owen Daniels (defended by Keith Brooking),1.470,0.920
4,1:09,2,10,HOU 38,27,13,Matt Schaub pass complete deep middle to Kevin Walter for 22 yards (tackle by Terence Newman),0.920,2.920
4,0:50,1,10,DAL 40,27,13,Matt Schaub pass incomplete short middle intended for Steve Slaton is intercepted by Danny McCray at DAL-35,2.920,-1.270
4,0:44,1,10,DAL 35,27,13,Tony Romo kneels for -1 yards,1.270,0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
