Unnamed: 0,CIN,BAL
First Downs,18,26
Rush-Yds-TDs,14-33-1,43-269-2
Cmp-Att-Yd-TD-INT,21-39-235-0-1,21-33-236-0-0
Sacked-Yards,2-18,1-8
Net Pass Yards,217,228
Total Yards,250,497
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,4-20,10-81
Third Down Conv.,5-11,9-15
Fourth Down Conv.,0-0,0-0
Time of Possession,20:18,39:42
