Quarter,Time,Tm,Detail,CIN,BAL
1.0,14:48,Bengals,Brandon Wilson 92 yard kickoff return (Randy Bullock kick),7,0
,11:28,Ravens,Lamar Jackson 21 yard rush (Justin Tucker kick),7,7
,4:01,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),7,14
2.0,14:48,Ravens,Justin Tucker 40 yard field goal,7,17
,0:36,Bengals,Randy Bullock 22 yard field goal,10,17
3.0,0:02,Ravens,Justin Tucker 49 yard field goal,10,20
4.0,3:46,Ravens,Justin Tucker 21 yard field goal,10,23
,1:28,Bengals,Andy Dalton 2 yard rush (Randy Bullock kick),17,23
