Unnamed: 0,SEA,IND
First Downs,21,20
Rush-Yds-TDs,34-218-0,29-109-1
Cmp-Att-Yd-TD-INT,15-31-210-2-1,16-29-229-2-0
Sacked-Yards,2-5,2-21
Net Pass Yards,205,208
Total Yards,423,317
Fumbles-Lost,2-1,2-2
Turnovers,2,2
Penalties-Yards,7-85,3-35
Third Down Conv.,2-12,7-12
Fourth Down Conv.,1-3,0-0
Time of Possession,31:22,28:38
