Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 73 yards, returned by David Reed for 26 yards (tackle by Jeron Johnson)",0.000,-0.040
1,14:56,1,10,IND 18,0,0,Andrew Luck pass incomplete short right intended for Trent Richardson,0.040,-0.490
1,14:53,2,10,IND 18,0,0,Trent Richardson left end for no gain (tackle by Bruce Irvin),-0.490,-1.170
1,14:10,3,10,IND 18,0,0,Andrew Luck pass incomplete short middle intended for Reggie Wayne,-1.170,-2.240
1,14:04,4,10,IND 18,0,0,Pat McAfee punts 34 yards,-2.240,-2.130
1,13:53,1,10,SEA 48,0,0,Marshawn Lynch left tackle for 24 yards (tackle by Darius Butler),2.130,3.710
1,13:18,1,10,IND 28,0,0,Russell Wilson pass incomplete short left intended for Doug Baldwin,3.710,3.170
1,13:11,2,10,IND 28,0,0,Marshawn Lynch up the middle for -5 yards (tackle by Jerrell Freeman and Robert Mathis),3.170,1.820
1,12:26,3,15,IND 33,0,0,Marshawn Lynch up the middle for 9 yards (tackle by Antoine Bethea),1.820,1.890
1,11:46,4,6,IND 24,3,0,Steven Hauschka 42 yard field goal good,1.890,3.000
1,11:46,,,SEA 35,3,0,"Steven Hauschka kicks off 74 yards, returned by David Reed for 26 yards (tackle by Chris Maragos)",0.000,0.060
1,11:34,1,10,IND 17,3,0,Trent Richardson left tackle for 2 yards (tackle by Bobby Wagner and K.J. Wright),-0.060,-0.250
1,10:50,2,8,IND 19,3,0,Andrew Luck pass incomplete short right intended for Darrius Heyward-Bey,-0.250,-1.000
1,10:45,3,8,IND 19,3,0,Andrew Luck pass incomplete short left intended for T.Y. Hilton,-1.000,-2.140
1,10:41,4,8,IND 19,3,0,"Pat McAfee punts 59 yards, returned by Golden Tate for 14 yards (tackle by Robert Hughes)",-2.140,-1.330
1,10:28,1,10,SEA 36,3,0,Marshawn Lynch right tackle for 19 yards (tackle by Jerrell Freeman),1.330,2.590
1,9:46,1,10,IND 45,3,0,Russell Wilson for 3 yards (tackle by Robert Mathis),2.590,2.450
1,9:17,2,7,IND 42,3,0,Marshawn Lynch right tackle for 7 yards (tackle by Greg Toler and Cory Redding),2.450,3.250
1,8:35,1,10,IND 35,3,0,Robert Turbin up the middle for 3 yards (tackle by Jerrell Freeman and Ricardo Mathews),3.250,3.110
1,8:01,2,7,IND 32,3,0,Russell Wilson pass complete short right to Golden Tate for 12 yards (tackle by Vontae Davis),3.110,4.240
1,7:15,1,10,IND 20,3,0,Russell Wilson for 11 yards (tackle by Jerrell Freeman),4.240,5.140
1,6:49,1,9,IND 9,3,0,Marshawn Lynch right end for -1 yards (tackle by Antoine Bethea),5.140,4.190
1,6:21,2,10,IND 10,9,0,"Russell Wilson pass complete short right to Golden Tate for 10 yards, touchdown",4.190,7.000
1,6:21,,,IND 2,10,0,Steven Hauschka kicks extra point good,0.000,0.000
1,6:21,,,SEA 35,10,0,"Steven Hauschka kicks off 74 yards, touchback",0.000,-0.280
1,6:14,1,10,IND 20,10,0,Andrew Luck pass complete short left to Donald Brown for 3 yards (tackle by Earl Thomas),0.280,0.140
1,5:43,2,7,IND 23,10,0,Donald Brown right end for 4 yards (tackle by Richard Sherman),0.140,-0.030
1,5:07,3,3,IND 27,10,0,Andrew Luck pass incomplete short left intended for Reggie Wayne,-0.030,-1.570
1,5:02,4,3,IND 27,12,0,"Pat McAfee punts, blocked by Jermaine Kearse, safety",-1.570,-2.000
,,,,,,,"Replay Assistant challenged the safety ruling, and the play was upheld.",,
1,5:02,,,IND 20,12,0,"Pat McAfee kicks off 55 yards, returned by Golden Tate for 18 yards (tackle by David Reed). Golden Tate fumbles, ball out of bounds at SEA-43",0.000,-1.800
1,4:47,1,10,SEA 43,12,0,Russell Wilson left end for 2 yards (tackle by Delano Howell),1.800,1.520
1,4:12,2,8,SEA 45,12,0,Russell Wilson left end for -2 yards (tackle by Jerrell Freeman),1.520,0.560
1,3:38,3,10,SEA 43,12,0,Russell Wilson pass complete short left to Doug Baldwin for 9 yards (tackle by Vontae Davis),0.560,0.070
1,2:53,4,1,IND 48,12,0,"Jon Ryan punts 32 yards, fair catch by T.Y. Hilton",0.070,0.140
1,2:45,1,10,IND 16,12,0,"Penalty on Michael Bennett: Neutral Zone Infraction, 5 yards (no play)",-0.140,0.740
1,2:45,1,5,IND 21,12,0,Andrew Luck pass complete short left to Reggie Wayne for 4 yards (tackle by Chris Clemons),0.740,0.690
1,2:00,2,1,IND 25,12,0,Andrew Luck pass incomplete short right intended for Robert Hughes,0.690,-0.200
1,1:54,3,1,IND 25,12,0,Trent Richardson up the middle for 2 yards (tackle by Brandon Mebane and Bruce Irvin),-0.200,0.740
1,1:16,1,10,IND 27,12,6,"Andrew Luck pass complete deep right to T.Y. Hilton for 73 yards, touchdown",0.740,7.000
1,1:16,,,SEA 2,12,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,1:16,,,IND 35,12,7,"Pat McAfee kicks off 74 yards, touchback. Penalty on Sergio Brown: Taunting, 15 yards",0.000,-1.270
1,1:04,1,10,SEA 35,12,7,Russell Wilson pass incomplete deep right intended for Doug Baldwin,1.270,0.720
1,0:58,2,10,SEA 35,12,7,Russell Wilson right end for 18 yards (tackle by Antoine Bethea and Greg Toler),0.720,2.460
1,0:12,1,10,IND 47,12,7,Marshawn Lynch right guard for 2 yards (tackle by Kavell Conner),2.460,2.180
Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,IND 45,12,7,Russell Wilson pass complete short right to Sidney Rice for 8 yards (tackle by Greg Toler),2.180,3.120
2,14:45,1,10,IND 37,12,7,Marshawn Lynch right end for 5 yards (tackle by Greg Toler),3.120,3.250
2,14:14,2,5,IND 32,12,7,Marshawn Lynch right end for 2 yards (tackle by Jerrell Freeman and Robert Mathis),3.250,2.810
2,13:29,3,3,IND 30,12,7,Russell Wilson pass incomplete short left intended for Luke Willson,2.810,1.480
2,13:20,4,3,IND 30,12,13,"Steven Hauschka 48 yard field goal no good, blocked by Lawrence Guy, recovered by Delano Howell and returned for 61 yards, touchdown",1.480,-7.000
2,13:06,,,SEA 2,12,14,Adam Vinatieri kicks extra point good,0.000,0.000
2,13:06,,,IND 35,12,14,"Pat McAfee kicks off 68 yards, returned by Jermaine Kearse for 21 yards (tackle by Cam Johnson)",0.000,-0.040
2,13:01,1,10,SEA 18,12,14,Russell Wilson pass incomplete deep left intended for Golden Tate,0.040,-0.490
2,12:52,2,10,SEA 18,12,14,Marshawn Lynch right end for 10 yards (tackle by Lawrence Guy and Greg Toler),-0.490,0.810
2,12:11,1,10,SEA 28,12,14,Robert Turbin up the middle for 2 yards (tackle by Lawrence Guy),0.810,0.530
2,11:27,2,8,SEA 30,12,14,Russell Wilson pass complete short left to Doug Baldwin for 11 yards (tackle by Erik Walden),0.530,1.660
2,10:46,1,10,SEA 41,12,14,"Russell Wilson pass complete deep right to Golden Tate for 28 yards (tackle by Darius Butler). Penalty on Golden Tate: Offensive Pass Interference, 10 yards (no play)",1.660,1.000
2,10:18,1,20,SEA 31,12,14,Robert Turbin up the middle for 8 yards (tackle by Jerrell Freeman),1.000,0.850
2,9:39,2,12,SEA 39,12,14,Russell Wilson pass complete short right to Luke Willson for 17 yards (tackle by Greg Toler and Delano Howell),0.850,2.650
2,9:07,1,10,IND 44,12,14,Robert Turbin right tackle for 1 yard (tackle by Aubrayo Franklin and Pat Angerer),2.650,2.250
2,8:23,2,9,IND 43,12,14,Russell Wilson up the middle for 6 yards (tackle by Antoine Bethea),2.250,2.350
2,7:39,3,3,IND 37,12,14,Russell Wilson pass incomplete short left intended for Doug Baldwin (defended by Vontae Davis),2.350,0.790
2,7:35,4,3,IND 37,12,14,Russell Wilson left tackle for 5 yards (tackle by Erik Walden and Jerrell Freeman),0.790,3.450
2,6:50,1,10,IND 32,12,14,Marshawn Lynch left end for 4 yards (tackle by Cam Johnson),3.450,3.440
2,6:05,2,6,IND 28,18,14,"Russell Wilson pass complete deep left to Jermaine Kearse for 28 yards, touchdown",3.440,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,6:05,,,IND 2,19,14,Steven Hauschka kicks extra point good,0.000,0.000
2,6:05,,,SEA 35,19,14,"Steven Hauschka kicks off 73 yards, returned by David Reed for 27 yards (tackle by Byron Maxwell)",0.000,-0.150
2,5:51,1,10,IND 19,19,14,Trent Richardson left end for -3 yards (tackle by Chris Clemons and K.J. Wright),0.150,-0.870
2,5:11,2,13,IND 16,19,14,Andrew Luck sacked by Bruce Irvin for -9 yards,-0.870,-2.820
2,4:33,3,22,IND 7,19,14,"Andrew Luck pass incomplete deep left intended for T.Y. Hilton. Penalty on Brandon Browner: Defensive Pass Interference, 39 yards, Penalty on Chris Clemons: Defensive Offside (Declined) (no play)",-2.820,1.990
