Quarter,Time,Tm,Detail,SEA,IND
1.0,11:40,Seahawks,Stephen Hauschka 42 yard field goal,3,0
,6:14,Seahawks,Golden Tate 10 yard pass from Russell Wilson (Stephen Hauschka kick),10,0
,4:53,Seahawks,"Safety, Pat McAfee punt blocked by Jermaine Kearse out of the back of the endzone.",12,0
,1:04,Colts,T.Y. Hilton 73 yard pass from Andrew Luck (Adam Vinatieri kick),12,7
2.0,13:06,Colts,Delano Howell 61 yard blocked field goal return (Adam Vinatieri kick),12,14
,5:57,Seahawks,Jermaine Kearse 28 yard pass from Russell Wilson (Stephen Hauschka kick),19,14
,0:58,Colts,Adam Vinatieri 41 yard field goal,19,17
3.0,11:18,Seahawks,Stephen Hauschka 36 yard field goal,22,17
,8:12,Seahawks,Stephen Hauschka 41 yard field goal,25,17
,4:16,Colts,T.Y. Hilton 29 yard pass from Andrew Luck (pass failed),25,23
,0:35,Seahawks,Stephen Hauschka 46 yard field goal,28,23
4.0,8:55,Colts,Donald Brown 3 yard rush (Reggie Wayne pass from Andrew Luck),28,31
,1:55,Colts,Adam Vinatieri 49 yard field goal,28,34
