Unnamed: 0,SDG,KAN
First Downs,21,15
Rush-Yds-TDs,25-112-1,26-111-0
Cmp-Att-Yd-TD-INT,20-34-291-0-2,16-27-157-0-0
Sacked-Yards,7-42,4-17
Net Pass Yards,249,140
Total Yards,361,251
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,10-67,7-46
Third Down Conv.,2-11,2-12
Fourth Down Conv.,1-3,0-0
Time of Possession,31:21,28:39
