Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Todd Sauerbrun kicks off 55 yards, returned by Eric Edwards for 14 yards (tackle by Dante Wesley)",0.000,0.870
1,14:55,1,10,ARI 29,0,0,Emmitt Smith left tackle for 1 yard (tackle by Brandon Short),0.870,0.460
1,14:20,2,9,ARI 30,0,0,Shaun King pass complete to Freddie Jones for 6 yards (tackle by Mark Fields),0.460,0.560
1,13:49,3,3,ARI 36,0,0,Josh Scobey left guard for 4 yards (tackle by Will Witherspoon),0.560,1.600
1,13:18,1,10,ARI 40,0,0,Emmitt Smith left guard for 6 yards (tackle by Vinny Ciurciu),1.600,1.860
1,13:18,2,4,ARI 46,0,0,"Penalty on Brentson Buckner: Encroachment, 5 yards (no play)",1.860,2.320
1,12:44,1,10,CAR 49,0,0,"Shaun King for no gain. Shaun King fumbles, recovered by Emmitt Smith at ARI-49 and returned for 6 yards",2.320,2.320
1,12:20,2,6,CAR 45,0,0,Shaun King pass incomplete intended for Larry Fitzgerald (defended by Artrell Hawkins),2.320,1.620
1,12:04,3,6,CAR 45,0,0,Shaun King pass incomplete intended for Larry Fitzgerald,1.620,0.270
1,11:56,4,6,CAR 45,0,0,Scott Player punts 42 yards,0.270,0.380
1,11:46,1,10,CAR 4,0,0,Jake Delhomme pass incomplete intended for Muhsin Muhammad (defended by Renaldo Hill),-0.380,-0.780
1,11:39,2,10,CAR 4,0,0,Brandon Bennett left end for 11 yards (tackle by Adrian Wilson and Ronald McKinnon),-0.780,-0.220
1,10:52,1,10,CAR 15,0,0,Nick Goings right guard for 24 yards (tackle by Quentin Harris),-0.220,1.530
1,10:03,,,,0,0,Timeout #1 by Carolina Panthers,0.000,1.530
1,10:03,1,10,CAR 39,0,0,Nick Goings up the middle for 3 yards (tackle by Renaldo Hill and Russell Davis),1.530,1.390
1,9:23,2,7,CAR 42,0,0,"Jake Delhomme pass incomplete. Penalty on Adrian Wilson: Defensive Holding, 5 yards (no play)",1.390,2.060
1,9:14,1,10,CAR 47,0,0,"Nick Goings left end for 1 yard (tackle by Adrian Wilson). Penalty on Russell Davis: Defensive Offside, 5 yards (no play)",2.060,2.790
1,8:54,1,5,ARI 48,0,0,Nick Goings up the middle for -2 yards (tackle by Darnell Dockett and Adrian Wilson),2.790,1.920
1,8:12,2,7,CAR 50,0,0,"Nick Goings right guard for 9 yards (tackle by Raynoch Thompson). Penalty on Travelle Wharton: Illegal Use of Hands, 10 yards (no play)",1.920,0.570
1,7:53,2,17,CAR 40,0,0,"Jake Delhomme pass complete to Keary Colbert for 4 yards (tackle by David Macklin). Penalty on Adrian Wilson: Roughing the Passer, 15 yards",0.570,2.850
1,7:31,1,10,ARI 41,0,0,Jake Delhomme pass incomplete intended for Keary Colbert,2.850,2.310
1,7:27,2,10,ARI 41,0,0,Jake Delhomme pass complete to Muhsin Muhammad for 39 yards (tackle by Renaldo Hill). Penalty on Renaldo Hill: Defensive Holding (Declined),2.310,6.740
1,6:59,1,2,ARI 2,0,6,"Nick Goings right tackle for 2 yards, touchdown",6.740,7.000
1,,,,ARI 2,0,7,Jeff Chandler kicks extra point good,0.000,0.000
1,,,,CAR 30,0,7,"Todd Sauerbrun kicks off 65 yards, lateral to Josh Scobey for 17 yards (tackle by Al Wallace)",0.000,0.340
1,6:48,1,10,ARI 21,0,7,Larry Fitzgerald left end for -2 yards (tackle by Mike Minter),0.340,-0.530
1,6:11,2,12,ARI 19,0,7,Emmitt Smith up the middle for 9 yards (tackle by Will Witherspoon),-0.530,0.040
1,5:33,3,3,ARI 28,0,7,Shaun King pass complete to Eric Edwards for 4 yards (tackle by Ricky Manning),0.040,1.070
1,4:57,1,10,ARI 32,0,7,Troy Hambrick left guard for 3 yards (tackle by Will Witherspoon),1.070,0.930
1,4:25,2,7,ARI 35,0,7,Shaun King up the middle for 2 yards (tackle by Will Witherspoon),0.930,0.500
1,3:49,3,5,ARI 37,0,7,"Shaun King for no gain. Shaun King fumbles, recovered by Shaun King at ARI-33",0.500,-1.110
1,3:30,4,8,ARI 34,0,7,"Scott Player punts 52 yards, returned by Jamall Broussard for 7 yards (tackle by LeVar Woods)",-1.110,-0.340
1,3:24,1,10,CAR 21,0,7,Muhsin Muhammad left end for 13 yards (tackle by James Darling),0.340,1.200
1,2:36,1,10,CAR 34,0,7,Ricky Proehl right end for 9 yards (tackle by James Darling),1.200,1.870
1,2:03,2,1,CAR 43,0,13,"Nick Goings left end for 57 yards, touchdown",1.870,7.000
1,,,,ARI 2,0,14,Jeff Chandler kicks extra point good,0.000,0.000
1,,,,CAR 30,0,14,"Todd Sauerbrun kicks off 66 yards, returned by Josh Scobey for 29 yards (tackle by Ricky Manning)",0.000,1.140
1,1:47,1,10,ARI 33,0,14,Shaun King pass incomplete intended for Obafemi Ayanbadejo (defended by Julius Peppers),1.140,0.590
