Quarter,Time,Tm,Detail,ARI,CAR
1.0,6:55,Panthers,Nick Goings 2 yard rush (Jeff Chandler kick),0,7
,1:53,Panthers,Nick Goings 57 yard rush (Jeff Chandler kick),0,14
2.0,4:31,Panthers,Nick Goings 1 yard rush (Jeff Chandler kick),0,21
,0:02,Panthers,Muhsin Muhammad 28 yard pass from Jake Delhomme (Jeff Chandler kick),0,28
3.0,9:20,Cardinals,Larry Fitzgerald 21 yard pass from Shaun King (Neil Rackers kick),7,28
,4:40,Cardinals,Neil Rackers 28 yard field goal,10,28
4.0,11:38,Panthers,Muhsin Muhammad 17 yard pass from Jake Delhomme (Jeff Chandler kick),10,35
