Unnamed: 0,ARI,CAR
First Downs,23,16
Rush-Yds-TDs,28-85-0,27-157-3
Cmp-Att-Yd-TD-INT,28-52-343-1-3,13-27-160-2-1
Sacked-Yards,4-29,0-0
Net Pass Yards,314,160
Total Yards,399,317
Fumbles-Lost,5-1,0-0
Turnovers,4,1
Penalties-Yards,12-105,12-85
Third Down Conv.,9-19,2-9
Fourth Down Conv.,0-2,0-1
Time of Possession,33:44,26:16
