Unnamed: 0,NYJ,IND
First Downs,17,27
Rush-Yds-TDs,29-86-0,24-101-0
Cmp-Att-Yd-TD-INT,18-31-302-2-1,26-39-377-3-0
Sacked-Yards,0-0,2-17
Net Pass Yards,302,360
Total Yards,388,461
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,6-46,1-5
Third Down Conv.,6-14,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,28:35,31:25
