0,1
Officials,Officials
Referee,Tony Corrente
Umpire,Ruben Fowler
Head Linesman,Jim Mello
Line Judge,Gary Arthur
Back Judge,Scott Helverson
Side Judge,Jeff Lamberth
Field Judge,Gary Cavaletto
