Quarter,Time,Tm,Detail,ARI,CAR
1.0,11:56,Panthers,Jonathan Stewart 9 yard rush (John Kasay kick),0,7
,2:43,Cardinals,Tim Hightower 3 yard pass from Kurt Warner (Neil Rackers kick),7,7
,1:47,Cardinals,Edgerrin James 4 yard rush (Neil Rackers kick),14,7
2.0,10:16,Cardinals,Neil Rackers 49 yard field goal,17,7
,5:28,Cardinals,Neil Rackers 30 yard field goal,20,7
,3:32,Cardinals,Larry Fitzgerald 29 yard pass from Kurt Warner (Neil Rackers kick),27,7
3.0,4:40,Cardinals,Neil Rackers 33 yard field goal,30,7
4.0,3:10,Cardinals,Neil Rackers 20 yard field goal,33,7
,0:50,Panthers,Steve Smith Sr. 8 yard pass from Jake Delhomme (pass failed),33,13
