Unnamed: 0,ARI,CAR
First Downs,21,16
Rush-Yds-TDs,43-145-1,15-75-1
Cmp-Att-Yd-TD-INT,21-32-220-2-1,17-34-205-1-5
Sacked-Yards,1-5,2-11
Net Pass Yards,215,194
Total Yards,360,269
Fumbles-Lost,0-0,1-1
Turnovers,1,6
Penalties-Yards,5-65,6-40
Third Down Conv.,10-18,2-8
Fourth Down Conv.,0-0,0-1
Time of Possession,39:49,20:11
