Quarter,Time,Tm,Detail,CAR,KAN
1.0,10:09,Chiefs,Lawrence Tynes 33 yard field goal,0,3
,1:10,Panthers,Kris Mangum 3 yard pass from Jake Delhomme (John Kasay kick),7,3
2.0,12:34,Chiefs,Priest Holmes 1 yard rush (Lawrence Tynes kick),7,10
3.0,6:47,Panthers,Keary Colbert 9 yard pass from Jake Delhomme (John Kasay kick),14,10
,3:34,Chiefs,Eric Warfield 43 yard interception return (Lawrence Tynes kick),14,17
4.0,14:55,Panthers,Mike Seidman 1 yard pass from Jake Delhomme (John Kasay kick),21,17
,10:35,Panthers,DeShaun Foster 3 yard rush (John Kasay kick),28,17
