Unnamed: 0,CAR,KAN
First Downs,23,17
Rush-Yds-TDs,39-183-1,23-109-1
Cmp-Att-Yd-TD-INT,16-29-180-3-2,17-34-187-0-1
Sacked-Yards,1-5,3-15
Net Pass Yards,175,172
Total Yards,358,281
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,6-51,8-88
Third Down Conv.,6-14,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,35:15,24:45
