Unnamed: 0,TAM,WAS
First Downs,12,20
Rush-Yds-TDs,21-48-0,31-155-0
Cmp-Att-Yd-TD-INT,15-23-288-2-0,23-32-207-1-2
Sacked-Yards,2-7,6-40
Net Pass Yards,281,167
Total Yards,329,322
Fumbles-Lost,2-1,4-1
Turnovers,1,3
Penalties-Yards,11-101,9-67
Third Down Conv.,3-10,4-13
Fourth Down Conv.,0-0,1-1
Time of Possession,25:49,34:11
