Quarter,Time,Tm,Detail,TAM,WAS
1.0,11:10,Buccaneers,Patrick Murray 32 yard field goal,3,0
,3:56,Buccaneers,Johnthan Banks 19 yard interception return (Patrick Murray kick),10,0
2.0,7:39,Buccaneers,Patrick Murray 38 yard field goal,13,0
,0:11,Redskins,Roy Helu 30 yard pass from Robert Griffin III (Kai Forbath kick),13,7
3.0,4:36,Buccaneers,Mike Evans 36 yard pass from Josh McCown (Patrick Murray kick),20,7
4.0,14:07,Buccaneers,Mike Evans 56 yard pass from Josh McCown (Patrick Murray kick),27,7
