Quarter,Time,Tm,Detail,IND,DEN
1.0,7:35,Colts,Adam Vinatieri 38 yard field goal,3,0
,1:38,Colts,Adam Vinatieri 33 yard field goal,6,0
2.0,10:37,Colts,Austin Collie 5 yard pass from Peyton Manning (Adam Vinatieri kick),13,0
,0:12,Broncos,Matt Prater 25 yard field goal,13,3
3.0,11:40,Broncos,Brandon Lloyd 48 yard pass from Kyle Orton (Matt Prater kick),13,10
,4:51,Colts,Blair White 9 yard pass from Peyton Manning (Adam Vinatieri kick),20,10
,2:24,Broncos,Matt Prater 34 yard field goal,20,13
4.0,4:26,Colts,Austin Collie 23 yard pass from Peyton Manning (Adam Vinatieri kick),27,13
