Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Peyton Manning pass incomplete deep right intended for Reggie Wayne (defended by Champ Bailey),0.280,-0.270
1,14:54,2,10,IND 20,0,0,Peyton Manning pass complete short left to Austin Collie for 3 yards (tackle by Champ Bailey),-0.270,-0.560
1,14:17,3,7,IND 23,0,0,Peyton Manning pass complete short left to Reggie Wayne for 14 yards (tackle by Champ Bailey),-0.560,1.400
1,13:44,1,10,IND 37,0,0,Joseph Addai right guard for -1 yards (tackle by Mario Haggan),1.400,0.720
1,13:10,2,11,IND 36,0,0,Peyton Manning pass incomplete short left intended for Joseph Addai,0.720,0.040
1,13:06,3,11,IND 36,0,0,Peyton Manning pass complete short middle to Dallas Clark for 19 yards (tackle by Darcel McBath),0.040,2.590
1,12:33,1,10,DEN 45,0,0,Joseph Addai left tackle for 3 yards (tackle by Mario Haggan and Marcus Thomas),2.590,2.450
1,11:50,2,7,DEN 42,0,0,Peyton Manning pass incomplete short left intended for Reggie Wayne (defended by Champ Bailey),2.450,1.750
1,11:46,3,7,DEN 42,0,0,Peyton Manning pass incomplete short left intended for Dallas Clark,1.750,0.460
1,11:41,4,7,DEN 42,0,0,"Pat McAfee punts 42 yards, touchback",0.460,-0.280
1,11:33,1,10,DEN 20,0,0,Kyle Orton pass incomplete short right intended for Daniel Graham,0.280,-0.270
1,11:29,2,10,DEN 20,0,0,Laurence Maroney left end for 5 yards (tackle by Jacob Lacey and Gary Brackett),-0.270,-0.300
1,10:58,3,5,DEN 25,0,0,Kyle Orton pass incomplete short right intended for Eddie Royal (defended by Jerraud Powers),-0.300,-1.700
1,10:54,4,5,DEN 25,0,0,"Britton Colquitt punts 39 yards, fair catch by Jerraud Powers",-1.700,-1.330
1,10:46,1,10,IND 36,0,0,"Peyton Manning for no gain. Peyton Manning fumbles, recovered by Peyton Manning at IND-34",1.330,0.520
1,10:21,2,12,IND 34,0,0,Peyton Manning pass complete short middle to Dallas Clark for 13 yards (tackle by Renaldo Hill),0.520,2.060
1,9:48,1,10,IND 47,0,0,Joseph Addai left guard for 2 yards (tackle by Mario Haggan and Ryan McBean),2.060,1.790
1,9:07,2,8,IND 49,0,0,Peyton Manning pass complete deep left to Reggie Wayne for 31 yards (tackle by Champ Bailey),1.790,4.240
1,8:36,1,10,DEN 20,0,0,Joseph Addai left tackle for no gain (tackle by Renaldo Hill),4.240,3.690
1,7:52,2,10,DEN 20,0,0,Peyton Manning pass incomplete deep left intended for Austin Collie,3.690,3.010
1,7:45,3,10,DEN 20,0,0,Peyton Manning pass incomplete deep right intended for Dallas Clark,3.010,2.120
1,7:40,4,10,DEN 20,3,0,Adam Vinatieri 38 yard field goal good,2.120,3.000
1,,,,IND 30,3,0,"Pat McAfee kicks off 70 yards, touchback",0.000,0.280
1,7:35,1,10,DEN 20,3,0,Kyle Orton pass complete deep left to Brandon Lloyd for 16 yards (tackle by Jerraud Powers),0.280,1.330
1,6:59,1,10,DEN 36,3,0,Laurence Maroney right guard for -1 yards (tackle by Philip Wheeler),1.330,0.660
1,6:22,2,11,DEN 35,3,0,Kyle Orton pass complete short left to Eddie Royal for -1 yards (tackle by Jacob Lacey and Gary Brackett),0.660,-0.160
1,5:40,3,12,DEN 34,3,0,Correll Buckhalter right guard for 7 yards (tackle by Eric Foster),-0.160,-0.650
1,5:01,4,5,DEN 41,3,0,"Britton Colquitt punts 49 yards, fair catch by Jerraud Powers",-0.650,0.380
1,4:51,1,10,IND 10,3,0,Peyton Manning pass complete short left to Austin Collie for 5 yards (tackle by Renaldo Hill),-0.380,-0.350
1,4:08,2,5,IND 15,3,0,Peyton Manning pass complete short right to Austin Collie for 14 yards (tackle by Darcel McBath),-0.350,0.870
1,3:36,1,10,IND 29,3,0,Donald Brown right guard for 5 yards (tackle by Robert Ayers),0.870,1.000
1,3:04,2,5,IND 34,3,0,Donald Brown right tackle for -1 yards (tackle by Robert Ayers),1.000,0.170
1,2:45,3,6,IND 33,3,0,Peyton Manning pass incomplete deep right intended for Blair White,0.170,-1.180
1,2:41,4,6,IND 33,3,0,"Pat McAfee punts 49 yards, muffed catch by Perrish Cox, recovered by Justin Tryon and returned for no gain",-1.180,4.650
1,2:31,1,10,DEN 14,3,0,Donald Brown right tackle for -1 yards (tackle by Mario Haggan),4.650,3.850
1,1:53,2,11,DEN 15,3,0,Peyton Manning pass incomplete short left intended for Reggie Wayne,3.850,3.060
1,1:48,3,11,DEN 15,3,0,Peyton Manning pass incomplete short right intended for Donald Brown,3.060,2.440
1,1:42,4,11,DEN 15,6,0,"Adam Vinatieri 33 yard field goal good. Penalty on D.J. Williams: Unnecessary Roughness, 15 yards",2.440,3.000
1,,,,IND 45,6,0,"Pat McAfee kicks off 55 yards, touchback",0.000,0.280
1,1:37,1,10,DEN 20,6,0,Laurence Maroney left tackle for 3 yards (tackle by Antonio Johnson),0.280,0.140
1,0:59,2,7,DEN 23,6,0,Kyle Orton pass complete short right to Jabar Gaffney for 17 yards (tackle by Kelvin Hayden and Gary Brackett),0.140,1.600
1,0:22,1,10,DEN 40,6,0,Kyle Orton pass complete deep left to Brandon Lloyd for 20 yards (tackle by Jerraud Powers),1.600,2.920
Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
