Unnamed: 0,IND,DEN
First Downs,18,23
Rush-Yds-TDs,22-40-0,18-47-0
Cmp-Att-Yd-TD-INT,27-43-325-3-0,37-57-476-1-1
Sacked-Yards,0-0,1-4
Net Pass Yards,325,472
Total Yards,365,519
Fumbles-Lost,1-0,3-1
Turnovers,0,2
Penalties-Yards,4-27,6-60
Third Down Conv.,6-14,5-15
Fourth Down Conv.,0-0,1-4
Time of Possession,30:08,29:52
