Quarter,Time,Tm,Detail,TAM,NYJ
1.0,8:35,Jets,"Safety, Jeff Freeman fumbled ball out of end zone following a bad snap.",0,2
,1:07,Buccaneers,Mike Williams 17 yard pass from Josh Freeman (Rian Lindell kick),7,2
2.0,11:01,Jets,Nick Folk 43 yard field goal,7,5
,6:46,Buccaneers,Doug Martin 5 yard rush (Rian Lindell kick),14,5
,0:34,Jets,Kellen Winslow 7 yard pass from Geno Smith (Nick Folk kick),14,12
4.0,5:05,Jets,Nick Folk 30 yard field goal,14,15
,0:34,Buccaneers,Rian Lindell 37 yard field goal,17,15
,0:02,Jets,Nick Folk 48 yard field goal,17,18
