Quarter,Time,Down,ToGo,Location,TAM,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,TAM 20,0,0,Josh Freeman pass complete short right to Mike Williams for 7 yards (tackle by David Harris),0.280,0.680
1,14:18,2,3,TAM 27,0,0,Doug Martin right tackle for 2 yards (tackle by Damon Harrison),0.680,0.230
1,13:51,3,1,TAM 29,0,0,Josh Freeman pass complete short left to Vincent Jackson for 20 yards (tackle by Dawan Landry and Dee Milliner),0.230,2.190
1,13:08,1,10,TAM 49,0,0,Josh Freeman pass incomplete short right intended for Vincent Jackson,2.190,2.190
1,13:05,1,10,TAM 49,0,0,Timeout #1 by Tampa Bay Buccaneers,2.190,1.650
1,13:05,2,10,TAM 49,0,0,"Penalty on Josh Freeman: Delay of Game, 5 yards (no play)",1.650,0.970
1,13:05,2,15,TAM 44,0,0,"Penalty on Josh Freeman: Delay of Game, 5 yards (no play)",0.970,0.300
1,13:05,2,20,TAM 39,0,0,Josh Freeman sacked by Antwan Barnes for -10 yards,0.300,-1.680
1,12:30,3,30,TAM 29,0,0,"Penalty on Demar Dotson: False Start, 5 yards (no play)",-1.680,-2.340
1,12:15,3,35,TAM 24,0,0,Josh Freeman pass complete short right to Doug Martin for 2 yards (tackle by Antonio Allen). Penalty on Mike Williams: False Start (Declined),-2.340,-1.630
1,11:55,4,33,TAM 26,0,0,"Michael Koenen punts 54 yards, returned by Jeremy Kerley for 9 yards (tackle by Jonathan Casillas)",-1.630,-0.870
1,11:45,1,10,NYJ 29,0,0,Geno Smith pass complete deep left to Jeremy Kerley for 26 yards (tackle by Mason Foster),0.870,2.590
1,11:01,1,10,TAM 45,0,0,Geno Smith up the middle for 3 yards (tackle by Mason Foster),2.590,2.450
1,10:20,2,7,TAM 42,0,0,Bilal Powell right tackle for 4 yards (tackle by Mason Foster),2.450,2.280
1,9:45,3,3,TAM 38,0,0,Jeremy Kerley pass incomplete short right intended for Tommy Bohanon,2.280,0.720
1,9:35,4,3,TAM 38,0,0,"Robert Malone punts 33 yards, out of bounds. Penalty on Daniel Te'o-Nesheim: Face Mask (15 Yards), 2 yards",0.720,0.380
1,9:30,1,10,TAM 3,0,0,Doug Martin left guard for no gain (tackle by Garrett McIntyre),-0.380,-0.780
1,8:51,2,10,TAM 3,0,0,Josh Freeman pass incomplete deep left intended for Mike Williams,-0.780,-1.420
1,8:43,3,10,TAM 3,0,0,"Josh Freeman pass incomplete deep left intended for Vincent Jackson. Penalty on Sheldon Richardson: Defensive Offside, 5 yards (no play)",-1.420,-0.840
1,8:38,3,5,TAM 8,0,2,"Josh Freeman for no gain. Josh Freeman fumbles, safety. Penalty on Josh Freeman: Illegal Bat (Declined)",-0.840,-2.000
1,8:38,,,TAM 20,0,2,"Michael Koenen kicks off 67 yards, returned by Jeremy Kerley for 19 yards (tackle by Russell Shepard)",0.000,-1.070
1,8:24,1,10,NYJ 32,0,2,Bilal Powell up the middle for 1 yard (tackle by Dashon Goldson),1.070,0.660
1,7:46,2,9,NYJ 33,0,2,Geno Smith pass incomplete short left intended for Clyde Gates (defended by Darrelle Revis),0.660,-0.030
1,7:43,3,9,NYJ 33,0,2,Geno Smith pass complete short left to Kellen Winslow for 5 yards (tackle by Leonard Johnson),-0.030,-0.850
1,7:43,4,4,NYJ 38,0,2,"Robert Malone punts 48 yards, returned by Eric Page for 28 yards (tackle by Josh Bush)",-0.850,-1.730
1,6:56,1,10,TAM 42,0,2,Doug Martin left guard for 2 yards (tackle by Sheldon Richardson),1.730,1.460
1,6:16,2,8,TAM 44,0,2,Doug Martin right guard for -1 yards (tackle by Kenrick Ellis and Sheldon Richardson),1.460,0.630
1,5:36,3,9,TAM 43,0,2,"Penalty on Jeremy Zuttah: False Start, 5 yards (no play)",0.630,-0.030
1,5:13,3,14,TAM 38,0,2,Josh Freeman sacked by Muhammad Wilkerson for -5 yards,-0.030,-1.180
1,4:45,4,19,TAM 33,0,2,"Michael Koenen punts 59 yards, fair catch by Jeremy Kerley",-1.180,0.380
1,4:37,1,10,NYJ 8,0,2,Chris Ivory right guard for 1 yard (tackle by Gerald McCoy and Jonathan Casillas),-0.380,-0.710
1,4:04,2,9,NYJ 9,0,2,Geno Smith pass incomplete short left intended for Santonio Holmes,-0.710,-1.300
1,4:00,3,9,NYJ 9,0,2,Geno Smith pass incomplete deep right intended for Jeremy Kerley,-1.300,-2.490
1,3:55,4,9,NYJ 9,0,2,"Robert Malone punts 42 yards, returned by Eric Page for 7 yards (tackle by Ellis Lankster)",-2.490,-2.650
