Quarter,Time,Tm,Detail,DAL,GNB
1.0,13:14,Cowboys,Nick Folk 25 yard field goal,3,0
,8:02,Packers,Mason Crosby 36 yard field goal,3,3
2.0,12:38,Packers,Mason Crosby 38 yard field goal,3,6
,6:04,Cowboys,Felix Jones 60 yard rush (Nick Folk kick),10,6
,0:07,Cowboys,Nick Folk 39 yard field goal,13,6
3.0,5:58,Packers,Mason Crosby 33 yard field goal,13,9
,2:53,Cowboys,Marion Barber III 2 yard rush (Nick Folk kick),20,9
4.0,9:09,Cowboys,Miles Austin 52 yard pass from Tony Romo (Nick Folk kick),27,9
,2:11,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),27,16
