Quarter,Time,Down,ToGo,Location,BUF,PHI,Detail,EPB,EPA
1,7:41,3,1,BUF 39,0,0,Marshawn Lynch up the middle for no gain (tackle by Brodrick Bunkley),0.890,-0.780
1,7:14,4,1,BUF 39,0,0,"Brian Moorman punts 33 yards, fair catch by Reno Mahe",-0.780,-0.810
1,7:06,1,10,PHI 28,0,0,Brian Westbrook up the middle for 2 yards (tackle by Bryan Scott),0.810,0.530
1,6:31,2,8,PHI 30,0,0,Donovan McNabb pass incomplete short right intended for Kevin Curtis (defended by Chris Kelsay),0.530,-0.160
1,6:27,3,8,PHI 30,0,0,Donovan McNabb pass complete short middle to Brent Celek for 11 yards (tackle by Kyle Williams),-0.160,1.660
1,5:47,1,10,PHI 41,0,0,Donovan McNabb pass complete short left to Kevin Curtis for 7 yards (tackle by Jabari Greer),1.660,2.070
1,5:17,2,3,PHI 48,0,0,Donovan McNabb pass complete short right to Jason Avant for 7 yards (tackle by Ashton Youboty),2.070,2.590
1,4:33,1,10,BUF 45,0,0,Reggie Brown left end for 6 yards (tackle by John DiGiorgio),2.590,2.850
1,3:49,2,4,BUF 39,0,0,Brian Westbrook for 19 yards (tackle by Jim Leonhard),2.850,4.240
1,3:10,1,10,BUF 20,0,0,"Penalty on PHI: False Start, 5 yards (no play)",4.240,3.910
1,2:48,1,15,BUF 25,0,0,Donovan McNabb pass complete short middle to Matt Schobel for 8 yards (tackle by Keith Ellison),3.910,4.120
1,2:08,2,7,BUF 17,0,0,Donovan McNabb pass incomplete short left intended for Kevin Curtis,4.120,3.360
1,2:03,3,7,BUF 17,0,0,"Donovan McNabb pass incomplete short left intended for Greg Lewis. Penalty on Ashton Youboty: Defensive Pass Interference, 8 yards (no play)",3.360,5.140
1,2:00,1,9,BUF 9,0,0,Donovan McNabb pass incomplete short right intended for Brian Westbrook,5.140,4.380
1,1:55,2,9,BUF 9,0,0,Donovan McNabb pass complete short left to Brian Westbrook for 7 yards (tackle by Keith Ellison),4.380,4.950
1,1:13,3,2,BUF 2,0,6,"Donovan McNabb pass complete short left to Brent Celek for 2 yards, touchdown",4.950,7.000
1,,,,BUF 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"David Akers kicks off 63 yards, returned by Terrence McGee for 19 yards (tackle by Jason Avant)",0.000,0.670
1,0:59,1,10,BUF 26,0,7,Trent Edwards pass incomplete short right intended for Lee Evans,0.670,0.130
1,0:55,2,10,BUF 26,0,7,Marshawn Lynch right tackle for 2 yards (tackle by Omar Gaither),0.130,-0.300
1,0:19,3,8,BUF 28,0,7,Trent Edwards pass incomplete deep left intended for Lee Evans (defended by Joselio Hanson),-0.300,-1.500
1,0:11,4,8,BUF 28,0,7,"Brian Moorman punts 56 yards, returned by Reno Mahe for 13 yards (tackle by Blake Costanzo)",-1.500,-0.870
Quarter,Time,Down,ToGo,Location,BUF,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 29,0,7,Donovan McNabb pass complete short right to Brian Westbrook for 21 yards (tackle by Bryan Scott),0.870,2.260
2,14:18,1,10,,0,7,Donovan McNabb pass complete short left to Kevin Curtis for 5 yards (tackle by Angelo Crowell),2.260,2.390
2,13:40,2,5,BUF 45,0,7,Donovan McNabb pass complete short middle to Correll Buckhalter for 6 yards (tackle by Angelo Crowell),2.390,2.980
2,12:55,1,10,BUF 39,0,7,Donovan McNabb sacked by John McCargo for -8 yards. Penalty on Winston Justice: Offensive Holding (Declined),2.980,1.360
2,12:21,2,18,BUF 47,0,7,Donovan McNabb pass complete deep left to Brian Westbrook for 30 yards (tackle by Aaron Schobel),1.360,4.440
2,11:47,1,10,BUF 17,0,7,Brian Westbrook left end for 4 yards (tackle by Aaron Schobel),4.440,4.500
2,11:05,2,6,BUF 13,0,7,Reggie Brown right end for 3 yards (tackle by Jim Leonhard),4.500,4.340
2,10:17,3,3,BUF 10,0,7,Donovan McNabb pass incomplete short left intended for Greg Lewis is intercepted by Ashton Youboty at BUF-5 and returned for 19 yards (tackle by Kevin Curtis),4.340,-0.540
2,10:08,1,10,BUF 24,0,7,Marshawn Lynch right end for 2 yards (tackle by Victor Abiamiri),0.540,0.270
2,9:32,2,8,BUF 26,0,7,Trent Edwards pass complete short right to Michael Gaines for 5 yards (tackle by Quintin Mikell),0.270,0.230
2,8:53,3,3,BUF 31,0,7,Trent Edwards pass complete short right to Fred Jackson for 5 yards (tackle by Stewart Bradley),0.230,1.330
2,8:09,1,10,BUF 36,0,7,Trent Edwards pass complete short left to Robert Royal for 14 yards (tackle by Chris Gocong),1.330,2.260
2,7:26,1,10,,0,7,"Penalty on Derrick Dockery: False Start, 5 yards (no play)",2.260,1.930
2,7:11,1,15,BUF 45,0,7,Trent Edwards pass complete short right to Fred Jackson for 4 yards (tackle by Omar Gaither),1.930,1.580
2,6:30,2,11,BUF 49,0,7,Trent Edwards pass complete short middle to Michael Gaines for 12 yards (tackle by Quintin Mikell),1.580,2.980
2,5:50,1,10,PHI 39,0,7,Marshawn Lynch left end for 3 yards (tackle by Juqua Parker and Omar Gaither),2.980,2.850
2,5:12,2,7,PHI 36,0,7,Marshawn Lynch left end for 12 yards (tackle by Akeem Jordan),2.850,3.970
2,4:33,1,10,PHI 24,0,7,"Trent Edwards pass incomplete. Penalty on Trent Edwards: Intentional Grounding, 10 yards",3.970,2.080
2,4:28,2,20,PHI 34,0,7,Marshawn Lynch left end for 2 yards (tackle by Sheldon Brown),2.080,1.690
2,3:46,3,18,PHI 32,0,7,"Trent Edwards pass incomplete. Penalty on Stewart Bradley: Roughing the Passer, 14 yards (no play)",1.690,4.370
2,3:42,1,10,PHI 18,0,7,Marshawn Lynch up the middle for 6 yards (tackle by Sheldon Brown),4.370,4.810
2,3:04,2,4,PHI 12,0,7,Marshawn Lynch left end for no gain (tackle by Juqua Parker),4.810,4.030
2,2:22,3,4,PHI 12,0,7,Trent Edwards pass complete short right to Lee Evans for 2 yards (tackle by J.R. Reed),4.030,2.890
2,2:00,4,2,PHI 10,3,7,Rian Lindell 29 yard field goal good,2.890,3.000
2,,,,BUF 30,3,7,"Rian Lindell kicks off 65 yards, returned by J.R. Reed for 15 yards (tackle by Leon Joe)",0.000,0.280
2,1:51,1,10,PHI 20,3,7,Donovan McNabb pass complete short right to Brent Celek for 5 yards (tackle by Ashton Youboty),0.280,0.410
2,1:31,2,5,PHI 25,3,7,Donovan McNabb pass complete deep right to Jason Avant for 23 yards (tackle by Jim Leonhard),0.410,2.130
2,1:07,1,10,PHI 48,3,7,Brian Westbrook for 4 yards,2.130,2.120
2,1:00,2,6,BUF 48,3,7,"Penalty on Winston Justice: False Start, 5 yards (no play)",2.120,1.450
2,1:00,2,11,PHI 47,3,7,"Penalty on Greg Lewis: False Start, 5 yards (no play)",1.450,0.770
2,1:00,2,16,PHI 42,3,7,Donovan McNabb pass complete short right to Reggie Brown for 8 yards,0.770,1.160
2,0:56,3,8,,3,7,Donovan McNabb pass complete short right to Kevin Curtis for 11 yards (tackle by Terrence McGee),1.160,2.980
2,0:48,,,,3,7,Timeout #1 by Philadelphia Eagles,0.000,2.980
2,0:48,1,10,BUF 39,3,7,Donovan McNabb pass incomplete short right intended for Brian Westbrook,2.980,2.440
2,0:44,2,10,BUF 39,3,7,Donovan McNabb pass complete deep left to Greg Lewis for 26 yards (tackle by Jim Leonhard),2.440,4.710
2,0:37,1,10,BUF 13,3,7,Donovan McNabb sacked by Keith Ellison for -7 yards,4.710,3.210
2,0:32,,,,3,7,Timeout #2 by Philadelphia Eagles,0.000,3.210
2,0:32,2,17,BUF 20,3,7,Donovan McNabb pass incomplete deep left intended for Kevin Curtis,3.210,2.540
2,0:28,3,17,BUF 20,3,7,Donovan McNabb pass incomplete short left intended for Matt Schobel,2.540,2.120
2,0:24,4,17,BUF 20,3,10,David Akers 38 yard field goal good,2.120,3.000
2,,,,PHI 30,3,10,"David Akers kicks off 45 yards, returned by Fred Jackson for 19 yards (tackle by Jason Avant)",0.000,1.860
2,0:12,1,10,BUF 44,3,10,Trent Edwards pass incomplete,1.860,1.320
2,0:06,2,10,BUF 44,3,10,Marshawn Lynch left tackle for 7 yards (tackle by J.R. Reed),1.320,1.550
Quarter,Time,Down,ToGo,Location,BUF,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,3,10,"Rian Lindell kicks off 68 yards, returned by J.R. Reed for 20 yards (tackle by Terrence McGee)",0.000,0.410
3,14:55,1,10,PHI 22,3,10,Donovan McNabb pass complete short right to Reggie Brown for 10 yards (tackle by Terrence McGee),0.410,1.070
3,14:12,1,10,PHI 32,3,10,Brian Westbrook left end for 3 yards (tackle by Larry Tripplett),1.070,0.930
3,13:37,2,7,PHI 35,3,10,Donovan McNabb pass complete short right to Thomas Tapeh for 4 yards (tackle by John DiGiorgio),0.930,0.760
3,12:55,3,3,PHI 39,3,10,Donovan McNabb pass complete short left to Brian Westbrook for -1 yards (tackle by Aaron Schobel),0.760,-0.850
3,12:23,4,4,PHI 38,3,10,"Saverio Rocca punts 45 yards, returned by Roscoe Parrish for 23 yards (tackle by Saverio Rocca)",-0.850,-1.600
3,12:08,1,10,BUF 40,3,10,Marshawn Lynch right end for 4 yards (tackle by Juqua Parker and Marcus Paschal),1.600,1.590
3,11:30,2,6,BUF 44,3,10,Trent Edwards pass complete short right to Marshawn Lynch for 22 yards (tackle by Quintin Mikell),1.590,3.310
3,10:46,1,10,PHI 34,3,10,Marshawn Lynch right tackle for 4 yards (tackle by Mike Patterson),3.310,3.310
3,10:07,2,6,PHI 30,3,10,Trent Edwards pass complete short middle to Robert Royal for 13 yards (tackle by Akeem Jordan),3.310,4.440
3,9:29,1,10,PHI 17,3,10,Marshawn Lynch right end for 2 yards (tackle by Juqua Parker and Will James),4.440,4.150
3,8:58,2,8,PHI 15,3,10,Trent Edwards pass complete short right to Fred Jackson for 4 yards (tackle by Juqua Parker),4.150,4.100
3,8:27,3,4,PHI 11,3,10,Trent Edwards pass complete short right to Roscoe Parrish for 3 yards (tackle by Joselio Hanson),4.100,2.990
3,8:03,4,1,PHI 8,3,10,Trent Edwards up the middle for 1 yard,2.990,5.600
3,7:39,1,7,PHI 7,3,10,Trent Edwards pass incomplete short right intended for Michael Gaines,5.600,4.760
3,7:34,2,7,PHI 7,3,10,Marshawn Lynch up the middle for -9 yards (tackle by Omar Gaither and Sheldon Brown),4.760,2.850
3,6:43,3,16,PHI 16,3,10,Trent Edwards pass complete short left to Fred Jackson for 11 yards (tackle by J.R. Reed),2.850,3.010
3,5:56,4,5,PHI 5,6,10,Rian Lindell 23 yard field goal good,3.010,3.000
3,,,,BUF 30,6,10,"Rian Lindell kicks off 56 yards, returned by Correll Buckhalter for 15 yards (tackle by Dwayne Wright)",0.000,0.870
3,5:47,1,10,PHI 29,6,10,Donovan McNabb pass complete deep middle to Kevin Curtis for 20 yards (tackle by Jabari Greer),0.870,2.190
3,5:16,1,10,PHI 49,6,10,Donovan McNabb pass complete short middle to Reggie Brown for 14 yards (tackle by Terrence McGee),2.190,3.120
3,4:36,1,10,BUF 37,6,10,Correll Buckhalter right tackle for 4 yards (tackle by Angelo Crowell),3.120,3.110
3,3:51,2,6,BUF 33,6,16,"Donovan McNabb pass complete deep right to Reggie Brown for 32 yards (tackle by Bryan Scott). Reggie Brown fumbles (forced by Bryan Scott), recovered by Kevin Curtis at BUF--4, touchdown",3.110,7.000
3,,,,BUF 2,6,17,David Akers kicks extra point good,0.000,0.000
3,,,,PHI 30,6,17,"David Akers kicks off 60 yards, returned by Roscoe Parrish for 24 yards (tackle by Pago Togafau)",0.000,1.200
3,3:35,1,10,BUF 34,6,17,Trent Edwards pass incomplete short right intended for Josh Reed,1.200,0.660
3,3:30,2,10,BUF 34,6,17,Marshawn Lynch right end for 56 yards (tackle by Joselio Hanson),0.660,4.910
3,2:59,1,10,PHI 10,6,17,Fred Jackson right tackle for 1 yard (tackle by Omar Gaither),4.910,4.380
3,2:23,2,9,PHI 9,6,17,Trent Edwards pass incomplete short right intended for Fred Jackson,4.380,3.360
3,2:18,3,9,PHI 9,6,17,Fred Jackson up the middle for 5 yards (tackle by Quintin Mikell and Omar Gaither),3.360,3.030
3,1:36,4,4,PHI 4,9,17,Rian Lindell 22 yard field goal good,3.030,3.000
3,,,,BUF 30,9,17,"Rian Lindell kicks off 64 yards, returned by J.R. Reed for 26 yards (tackle by Blake Costanzo)",0.000,1.070
3,1:27,1,10,PHI 32,9,17,Correll Buckhalter up the middle for 1 yard (tackle by Aaron Schobel),1.070,0.660
3,0:53,2,9,PHI 33,9,17,Donovan McNabb pass complete short left to Hank Baskett for 2 yards (tackle by Jabari Greer),0.660,0.230
3,0:08,3,7,PHI 35,9,17,"Donovan McNabb for no gain. Donovan McNabb fumbles, recovered by John DiGiorgio at PHI-28 (tackle by Donovan McNabb)",0.230,-3.710
3,0:00,1,10,PHI 28,9,17,Fred Jackson up the middle for 8 yards (tackle by Chris Gocong),3.710,4.250
Quarter,Time,Down,ToGo,Location,BUF,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,PHI 20,9,17,Fred Jackson left tackle for 1 yard (tackle by Mike Patterson),4.250,3.720
4,14:18,3,1,PHI 19,9,17,Marshawn Lynch up the middle for no gain (tackle by Omar Gaither),3.720,2.340
4,13:45,4,1,PHI 19,9,17,Marshawn Lynch right tackle for no gain (tackle by Akeem Jordan),2.340,-0.150
,,,,,,,"BUF challenged the first down ruling, and the play was upheld.",,
4,13:39,1,10,PHI 19,9,17,Correll Buckhalter left tackle for 11 yards (tackle by Jim Leonhard),0.150,0.940
4,13:05,1,10,PHI 30,9,17,Donovan McNabb pass complete short left to Correll Buckhalter for 4 yards (tackle by Mario Haggan),0.940,0.930
4,12:26,2,6,PHI 34,9,17,Correll Buckhalter right end for -1 yards (tackle by Chris Kelsay),0.930,0.100
4,11:42,3,7,PHI 33,9,17,Donovan McNabb pass complete short left to Kevin Curtis for 4 yards (tackle by Angelo Crowell),0.100,-0.910
4,11:04,4,3,PHI 37,9,17,"Saverio Rocca punts 48 yards, returned by Roscoe Parrish for 6 yards (tackle by Akeem Jordan)",-0.910,-0.340
4,10:54,1,10,BUF 21,9,17,Trent Edwards pass incomplete short right intended for Robert Royal,0.340,-0.200
4,10:48,2,10,BUF 21,9,17,Trent Edwards for 14 yards (tackle by J.R. Reed),-0.200,1.270
4,10:16,1,10,BUF 35,9,17,Fred Jackson up the middle for 1 yard (tackle by Quintin Mikell),1.270,0.860
,,,,,,,"BUF challenged the fumble ruling, and the original play was overturned.",,
4,9:53,2,9,BUF 36,9,17,Trent Edwards pass incomplete short right intended for Roscoe Parrish,0.860,0.170
4,9:49,3,9,BUF 36,9,17,Trent Edwards pass complete short left to Sam Aiken for 10 yards (tackle by Sheldon Brown),0.170,1.990
4,9:15,1,10,BUF 46,9,17,Trent Edwards pass incomplete short left intended for Robert Royal,1.990,1.450
4,9:09,2,10,BUF 46,9,17,Marshawn Lynch left end for -6 yards (tackle by Akeem Jordan),1.450,-0.030
4,8:27,3,16,BUF 40,9,17,Trent Edwards pass incomplete deep right intended for Roscoe Parrish,-0.030,-0.720
4,8:22,4,16,BUF 40,9,17,"Brian Moorman punts 47 yards, fair catch by Reno Mahe",-0.720,0.320
4,8:13,1,10,PHI 13,9,17,Donovan McNabb pass incomplete short left intended for Kevin Curtis,-0.320,-0.770
4,8:11,2,10,PHI 13,9,17,Donovan McNabb sacked by John McCargo and Chris Kelsay for -2 yards,-0.770,-1.650
4,7:33,3,12,PHI 11,9,17,Donovan McNabb pass complete deep middle to Reggie Brown for 19 yards (tackle by Jabari Greer),-1.650,0.940
4,6:55,1,10,PHI 30,9,17,Correll Buckhalter right tackle for no gain (tackle by Larry Tripplett),0.940,0.390
4,6:18,2,10,PHI 30,9,17,Donovan McNabb pass incomplete short right intended for Reggie Brown,0.390,-0.300
4,6:14,3,10,PHI 30,9,17,Donovan McNabb pass incomplete short right intended for Brent Celek,-0.300,-1.370
4,6:06,4,10,PHI 30,9,17,"Saverio Rocca punts 40 yards, returned by Roscoe Parrish for 3 yards (tackle by Jon Dorenbos)",-1.370,-1.140
4,5:53,1,10,BUF 33,9,17,Marshawn Lynch left end for -2 yards (tackle by Sheldon Brown),1.140,0.320
4,5:16,2,12,BUF 31,9,17,Trent Edwards pass complete deep middle to Josh Reed for 24 yards (tackle by Sheldon Brown),0.320,2.590
4,4:38,1,10,PHI 45,9,17,Trent Edwards pass incomplete short right intended for Michael Gaines,2.590,2.040
4,4:31,2,10,PHI 45,9,17,Trent Edwards pass incomplete,2.040,1.360
4,4:25,3,10,PHI 45,9,17,Trent Edwards pass complete short left to Fred Jackson for -7 yards (tackle by Stewart Bradley),1.360,-0.190
4,3:42,4,17,BUF 48,9,17,Brian Moorman punts 41 yards,-0.190,0.370
4,3:35,1,10,PHI 11,9,17,Donovan McNabb pass complete short left to Hank Baskett for 5 yards (tackle by Jabari Greer),-0.370,-0.300
4,2:54,2,5,PHI 16,9,17,Donovan McNabb pass complete short right to Kevin Curtis for 7 yards (tackle by Chris Kelsay),-0.300,0.480
4,2:10,1,10,PHI 23,9,17,Correll Buckhalter right tackle for no gain (tackle by Bryan Scott),0.480,-0.070
4,2:05,,,,9,17,Timeout #2 by Buffalo Bills,0.000,0.000
4,2:05,,,,9,17,Timeout #1 by Philadelphia Eagles,0.000,-0.070
4,2:05,2,10,PHI 23,9,17,Donovan McNabb pass complete deep right to Greg Lewis for 40 yards (tackle by Ashton Youboty),-0.070,3.120
4,1:56,1,10,BUF 37,9,17,Correll Buckhalter up the middle for -5 yards (tackle by Terrence McGee),3.120,1.900
4,1:52,,,,9,17,Timeout #3 by Buffalo Bills,0.000,1.900
4,1:52,2,15,BUF 42,9,17,Correll Buckhalter right end for -3 yards (tackle by Chris Kelsay),1.900,0.830
4,1:07,,,,9,17,Timeout #2 by Philadelphia Eagles,0.000,0.830
4,1:07,3,18,BUF 45,9,17,Correll Buckhalter up the middle for 11 yards (tackle by John DiGiorgio),0.830,1.060
4,1:07,4,7,BUF 34,9,17,"Penalty on Saverio Rocca: Delay of Game, 5 yards (no play)",1.060,0.660
4,0:10,4,12,BUF 39,9,17,"Saverio Rocca punts 39 yards, touchback",0.660,-0.280
4,0:10,1,10,BUF 20,9,17,"Trent Edwards pass complete short right to Fred Jackson for 7 yards, lateral to Josh Reed for no gain (tackle by Juqua Parker)",0.280,0.680
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
