Unnamed: 0,BUF,PHI
First Downs,13,20
Rush-Yds-TDs,30-138-0,19-69-0
Cmp-Att-Yd-TD-INT,16-30-133-0-0,29-41-345-1-1
Sacked-Yards,0-0,4-23
Net Pass Yards,133,322
Total Yards,271,391
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,3-23,6-39
Third Down Conv.,2-12,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,29:28,30:32
