Quarter,Time,Tm,Detail,BUF,PHI
1.0,1:07,Eagles,Brent Celek 2 yard pass from Donovan McNabb (David Akers kick),0,7
2.0,1:57,Bills,Rian Lindell 29 yard field goal,3,7
,0:20,Eagles,David Akers 38 yard field goal,3,10
3.0,5:52,Bills,Rian Lindell 23 yard field goal,6,10
,3:42,Eagles,Kevin Curtis offensive fumble recovery in end zone (David Akers kick),6,17
,1:33,Bills,Rian Lindell 22 yard field goal,9,17
