Unnamed: 0,BAL,NYG
First Downs,22,19
Rush-Yds-TDs,26-98-2,17-38-0
Cmp-Att-Yd-TD-INT,26-48-307-0-0,32-46-403-3-2
Sacked-Yards,2-14,1-6
Net Pass Yards,293,397
Total Yards,391,435
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,15-111,7-119
Third Down Conv.,5-18,4-14
Fourth Down Conv.,1-2,3-3
Time of Possession,35:04,24:56
