Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,BAL 25,0,0,Joe Flacco pass incomplete short right intended for Mike Wallace (defended by Dominique Rodgers-Cromartie),0.610,0.060
1,14:57,2,10,BAL 25,0,0,Terrance West right tackle for 1 yard (tackle by Dominique Rodgers-Cromartie),0.060,-0.490
1,14:15,3,9,BAL 26,0,0,Joe Flacco pass complete deep middle to Breshad Perriman for 41 yards (tackle by Dominique Rodgers-Cromartie),-0.490,3.380
1,13:37,1,10,NYG 33,0,0,Terrance West left guard for 6 yards (tackle by Landon Collins),3.380,3.650
1,13:04,2,4,NYG 27,0,0,Terrance West left guard for -1 yards (tackle by Johnathan Hankins and Damon Harrison),3.650,2.810
1,12:25,3,5,NYG 28,0,0,Joe Flacco pass complete short left to Kyle Juszczyk for 18 yards (tackle by Landon Collins),2.810,4.910
1,11:41,1,10,NYG 10,0,0,Joe Flacco pass incomplete short left intended for Dennis Pitta,4.910,4.190
1,11:34,2,10,NYG 10,0,0,"Penalty on John Urschel: False Start, 5 yards (no play)",4.190,3.460
1,11:34,2,15,NYG 15,0,0,Joe Flacco pass complete short right to Breshad Perriman for 2 yards (tackle by Dominique Rodgers-Cromartie),3.460,3.060
1,10:58,3,13,NYG 13,0,0,Joe Flacco pass complete short middle to Dennis Pitta for 8 yards (tackle by Landon Collins),3.060,3.010
1,10:15,4,5,NYG 5,3,0,Justin Tucker 23 yard field goal good,3.010,3.000
1,10:15,,,BAL 35,3,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,10:10,1,10,NYG 25,3,0,"Eli Manning pass complete short right to Odell Beckham for 5 yards (tackle by Eric Weddle). Odell Beckham fumbles (forced by Eric Weddle), recovered by Zach Orr at NYG-30 (tackle by Justin Pugh)",0.610,-3.580
1,10:03,1,10,NYG 30,3,0,Joe Flacco pass complete short right to Terrance West for 8 yards (tackle by Devon Kennard),3.580,4.110
1,9:27,2,2,NYG 22,3,0,Terrance West left end for -1 yards (tackle by Landon Collins and Devon Kennard),4.110,3.270
1,8:46,3,3,NYG 23,3,0,Terrance West middle for 5 yards (tackle by Keenan Robinson),3.270,4.370
1,8:08,1,10,NYG 18,3,0,Joe Flacco pass complete short left to Kamar Aiken for 12 yards (tackle by Andrew Adams),4.370,5.830
1,7:32,1,6,NYG 6,3,0,Joe Flacco pass complete short right to Dennis Pitta for 5 yards (tackle by Dominique Rodgers-Cromartie and Jonathan Casillas),5.830,5.910
1,6:47,2,1,NYG 1,9,0,"Terrance West left guard for 1 yard, touchdown",5.910,7.000
1,6:47,,,NYG 1,10,0,Justin Tucker kicks extra point good,0.000,0.000
1,6:47,,,BAL 35,10,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,6:42,1,10,NYG 25,10,0,Rashad Jennings left guard for 2 yards (tackle by Zach Orr and Eric Weddle),0.610,0.330
1,6:11,2,8,NYG 27,10,0,Eli Manning pass incomplete deep left intended for Victor Cruz,0.330,-0.360
1,6:05,3,8,NYG 27,10,0,Eli Manning pass incomplete deep middle intended for Sterling Shepard,-0.360,-1.570
1,6:00,4,8,NYG 27,10,0,"Brad Wing punts 48 yards, returned by Lardarius Webb for 3 yards (tackle by Bobby Rainey). Penalty on Zak DeOssie: Illegal Use of Hands, 10 yards",-1.570,-1.470
1,5:49,1,10,BAL 38,10,0,Terrance West right tackle for 4 yards (tackle by Devon Kennard and Jay Bromley),1.470,1.460
1,5:13,2,6,BAL 42,10,0,Joe Flacco pass complete short right to Mike Wallace for 10 yards (tackle by Jonathan Casillas),1.460,2.390
1,4:40,1,10,NYG 48,10,0,Joe Flacco pass incomplete short left intended for Breshad Perriman,2.390,1.850
1,4:32,2,10,NYG 48,10,0,Joe Flacco pass incomplete short right intended for Terrance West,1.850,1.160
1,4:24,3,10,NYG 48,10,0,"Joe Flacco pass complete short left to Kyle Juszczyk for 19 yards (tackle by Leon Hall). Penalty on BAL: Illegal Formation, 5 yards (no play)",1.160,0.500
1,3:58,3,15,BAL 47,10,0,Joe Flacco pass incomplete short left intended for Kenneth Dixon (defended by Jason Pierre-Paul),0.500,-0.260
1,3:51,4,15,BAL 47,10,0,"Sam Koch punts 45 yards, fair catch by Dwayne Harris. Penalty on Morgan Cox: Offensive Holding, 10 yards",-0.260,-0.040
1,3:45,1,10,NYG 18,10,0,Rashad Jennings right guard for 2 yards (tackle by Terrell Suggs and Matt Judon),0.040,-0.130
1,3:15,2,8,NYG 20,10,0,Eli Manning pass complete short left to Rashad Jennings for 3 yards (tackle by Jimmy Smith and Albert McClellan),-0.130,-0.530
1,2:31,3,5,NYG 23,10,0,Eli Manning pass complete short right to Sterling Shepard for 4 yards (tackle by Eric Weddle),-0.530,-1.570
1,1:53,4,1,NYG 27,10,0,"Brad Wing punts 57 yards. Penalty on Matt Judon: Offensive Holding, 8 yards",-1.570,0.380
1,1:42,1,10,BAL 8,10,0,Terrance West left end for 7 yards (tackle by Jonathan Casillas and Johnathan Hankins),-0.380,-0.210
1,1:06,2,3,BAL 15,10,0,Joe Flacco sacked by Johnathan Hankins for -4 yards,-0.210,-1.070
1,0:26,3,7,BAL 11,10,0,Joe Flacco pass complete short right to Kyle Juszczyk for 5 yards (tackle by Dominique Rodgers-Cromartie),-1.070,-2.390
Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,BAL 16,10,0,"Sam Koch punts 60 yards, returned by Dwayne Harris for 12 yards (tackle by Kyle Juszczyk). Penalty on Jerell Adams: Defensive Offside, 5 yards (no play)",-2.390,0.340
2,14:48,1,10,BAL 21,10,0,Joe Flacco pass incomplete deep middle intended for Crockett Gillmore,0.340,-0.200
2,14:42,2,10,BAL 21,10,0,Terrance West left guard for 33 yards (tackle by Janoris Jenkins and Andrew Adams),-0.200,2.520
2,14:04,1,10,NYG 46,10,0,Kenneth Dixon left tackle for 7 yards (tackle by Jason Pierre-Paul and Landon Collins),2.520,2.920
2,13:28,2,3,NYG 39,10,0,Kenneth Dixon right end for 4 yards (tackle by Johnathan Hankins),2.920,3.250
2,12:48,1,10,NYG 35,10,0,Terrance West right end for 1 yard (tackle by Olivier Vernon),3.250,2.840
2,12:10,2,9,NYG 34,10,0,"Joe Flacco pass complete short middle to Terrance West for 6 yards (tackle by Keenan Robinson and Devon Kennard). Penalty on Crockett Gillmore: Offensive Holding, 10 yards (no play)",2.840,1.490
2,11:47,2,19,NYG 44,10,0,Joe Flacco pass complete short right to Dennis Pitta for -3 yards (tackle by Jay Bromley),1.490,0.430
2,11:02,3,22,NYG 47,10,0,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",0.430,-0.230
2,10:41,3,27,BAL 48,10,0,Joe Flacco pass incomplete short middle intended for Kamar Aiken,-0.230,-0.190
2,10:36,4,27,BAL 48,10,0,"Sam Koch punts 45 yards, fair catch by Dwayne Harris",-0.190,0.380
2,10:29,1,10,NYG 7,10,0,Bobby Rainey left guard for 4 yards (tackle by Brandon Williams and Zach Orr),-0.380,-0.490
2,9:58,2,6,NYG 11,10,0,Eli Manning pass complete short middle to Bobby Rainey for 7 yards (tackle by Albert McClellan and Matt Judon),-0.490,0.040
2,9:30,1,10,NYG 18,10,0,Eli Manning pass incomplete short right intended for Victor Cruz,0.040,-0.490
2,9:28,2,10,NYG 18,10,0,Eli Manning pass complete short left to Bobby Rainey for 9 yards (tackle by Albert McClellan),-0.490,-0.020
2,8:54,3,1,NYG 27,10,0,Bobby Rainey left tackle for no gain (tackle by Brandon Williams and Eric Weddle),-0.020,-1.570
2,8:20,4,1,NYG 27,10,0,"Brad Wing punts 47 yards, out of bounds",-1.570,-0.670
2,8:09,1,10,BAL 26,10,0,Terrance West middle for -1 yards (tackle by Johnathan Hankins and Jason Pierre-Paul),0.670,-0.010
2,7:34,2,11,BAL 25,10,0,Joe Flacco pass incomplete deep middle intended for Kamar Aiken,-0.010,-0.010
2,7:25,2,11,BAL 25,10,0,Timeout #1 by New York Giants,-0.010,-0.690
2,7:25,3,11,BAL 25,10,0,Joe Flacco pass incomplete short right intended for Mike Wallace,-0.690,-1.700
2,7:21,4,11,BAL 25,10,0,"Sam Koch punts 60 yards, returned by Dwayne Harris for 5 yards (tackle by Patrick Onwuasor)",-1.700,-0.280
2,7:08,1,10,NYG 20,10,0,Eli Manning pass complete short left to Odell Beckham for 6 yards (tackle by Jimmy Smith),0.280,0.540
2,6:49,2,4,NYG 26,10,0,"Eli Manning pass incomplete short left intended for Odell Beckham (defended by Jimmy Smith). Penalty on Terrell Suggs: Defensive Offside, 5 yards (no play)",0.540,1.000
2,6:40,1,10,NYG 31,10,0,Eli Manning pass complete short middle to Larry Donnell for 8 yards (tackle by Albert McClellan),1.000,1.540
2,6:17,2,2,NYG 39,10,0,Rashad Jennings left tackle for 1 yard (tackle by Zach Orr and Michael Pierce),1.540,0.960
2,5:36,3,1,NYG 40,10,0,Eli Manning pass complete short left to Victor Cruz for 4 yards (tackle by Jimmy Smith),0.960,1.860
2,5:12,1,10,NYG 44,10,0,Eli Manning pass complete short left to Rashad Jennings for 1 yard (tackle by Jimmy Smith and Lawrence Guy),1.860,1.450
2,4:51,2,9,NYG 45,10,0,Eli Manning pass complete short middle to Will Tye for 10 yards (tackle by Eric Weddle and Will Davis),1.450,2.590
2,4:28,1,10,BAL 45,10,0,Rashad Jennings right tackle for 5 yards (tackle by Zach Orr and Matt Judon),2.590,2.720
2,4:01,2,5,BAL 40,10,0,Eli Manning pass incomplete short middle intended for Sterling Shepard,2.720,2.010
2,3:57,3,5,BAL 40,10,0,Eli Manning pass incomplete deep right intended for Roger Lewis,2.010,0.590
2,3:49,4,5,BAL 40,10,0,Eli Manning pass complete short left to Victor Cruz for 10 yards (tackle by Jimmy Smith),0.590,3.580
2,3:24,1,10,BAL 30,10,0,Eli Manning pass incomplete deep left intended for Victor Cruz,3.580,3.030
2,3:18,2,10,BAL 30,10,0,Bobby Rainey left tackle for 6 yards (tackle by Terrell Suggs),3.030,3.140
2,2:30,3,4,BAL 24,10,6,"Eli Manning pass complete deep right to Roger Lewis for 24 yards, touchdown",3.140,7.000
2,2:30,,,BAL 24,10,7,Josh Brown kicks extra point good,0.000,0.000
2,2:30,,,NYG 35,10,7,"Josh Brown kicks off 65 yards, touchback",0.000,-0.610
2,2:28,1,10,BAL 25,10,7,Joe Flacco pass complete short middle to Dennis Pitta for 11 yards (tackle by Kelvin Sheppard),0.610,1.330
2,2:05,1,10,BAL 36,10,7,Terrance West middle for 5 yards (tackle by Jay Bromley and Kelvin Sheppard),1.330,1.470
2,2:00,2,5,BAL 41,10,7,Joe Flacco pass complete short right to Terrance West for 12 yards (tackle by Landon Collins),1.470,2.460
