Quarter,Time,Tm,Detail,HOU,MIA
1.0,10:21,Dolphins,Jason Sanders 45 yard field goal,0,3
,2:57,Dolphins,Durham Smythe 4 yard pass from Tua Tagovailoa (Jason Sanders kick),0,10
2.0,12:22,Dolphins,Jeff Wilson 3 yard rush (Jason Sanders kick),0,17
,6:22,Dolphins,Jason Sanders 23 yard field goal,0,20
,4:59,Dolphins,Xavien Howard 16 yard fumble return (Jason Sanders kick),0,27
,0:00,Dolphins,Jason Sanders 35 yard field goal,0,30
3.0,3:18,Texans,Dare Ogunbowale 3 yard rush (run failed),6,30
4.0,12:46,Texans,Jordan Akins 25 yard pass from Kyle Allen (pass failed),12,30
,9:00,Texans,Ka'imi Fairbairn 28 yard field goal,15,30
