Unnamed: 0,LAR,NYG
First Downs,22,21
Rush-Yds-TDs,34-131-1,18-60-1
Cmp-Att-Yd-TD-INT,22-30-251-4-2,29-51-242-0-3
Sacked-Yards,2-17,4-41
Net Pass Yards,234,201
Total Yards,365,261
Fumbles-Lost,1-0,2-1
Turnovers,2,4
Penalties-Yards,7-50,5-27
Third Down Conv.,2-11,4-15
Fourth Down Conv.,2-2,2-4
Time of Possession,32:22,27:38
